symbol,timeframe,timestamp,open,high,low,close,volume,trade_count,vwap,source,feed,adjustment,downloaded_at
AAPL,1Day,2023-05-15 04:00:00+00:00,173.13,173.2,171.47,172.1,465697,5267,172.120197,alpaca,iex,raw,2026-05-13 13:01:20.229838+00:00
AAPL,1Day,2023-05-16 04:00:00+00:00,172.0,173.11,171.83,172.11,824869,7650,172.357564,alpaca,iex,raw,2026-05-13 13:01:20.229858+00:00
AAPL,1Day,2023-05-17 04:00:00+00:00,171.68,172.91,170.435,172.68,753167,7792,171.750872,alpaca,iex,raw,2026-05-13 13:01:20.229868+00:00
AAPL,1Day,2023-05-18 04:00:00+00:00,173.09,175.23,172.59,175.065,869339,7859,174.245901,alpaca,iex,raw,2026-05-13 13:01:20.229877+00:00
AAPL,1Day,2023-05-19 04:00:00+00:00,176.24,176.26,174.95,175.19,740033,7629,175.586349,alpaca,iex,raw,2026-05-13 13:01:20.229886+00:00
AAPL,1Day,2023-05-22 04:00:00+00:00,174.09,174.695,173.48,174.25,544613,7287,174.15285,alpaca,iex,raw,2026-05-13 13:01:20.229895+00:00
AAPL,1Day,2023-05-23 04:00:00+00:00,173.095,173.33,171.275,171.57,803197,7596,172.294435,alpaca,iex,raw,2026-05-13 13:01:20.229903+00:00
AAPL,1Day,2023-05-24 04:00:00+00:00,171.04,172.41,170.575,171.83,677599,6635,171.467565,alpaca,iex,raw,2026-05-13 13:01:20.229911+00:00
AAPL,1Day,2023-05-25 04:00:00+00:00,172.61,173.89,171.7,173.025,934931,9289,172.930099,alpaca,iex,raw,2026-05-13 13:01:20.229919+00:00
AAPL,1Day,2023-05-26 04:00:00+00:00,173.27,175.73,173.16,175.33,692822,6935,175.156031,alpaca,iex,raw,2026-05-13 13:01:20.229928+00:00
AAPL,1Day,2023-05-30 04:00:00+00:00,176.935,178.95,176.6,177.29,1046992,9417,177.459361,alpaca,iex,raw,2026-05-13 13:01:20.229936+00:00
AAPL,1Day,2023-05-31 04:00:00+00:00,177.31,179.335,176.8,177.425,1185605,10051,178.279878,alpaca,iex,raw,2026-05-13 13:01:20.229945+00:00
AAPL,1Day,2023-06-01 04:00:00+00:00,177.71,180.105,176.945,180.105,949954,11353,179.03547,alpaca,iex,raw,2026-05-13 13:01:20.229964+00:00
AAPL,1Day,2023-06-02 04:00:00+00:00,181.09,181.74,179.27,180.89,893320,8549,180.627181,alpaca,iex,raw,2026-05-13 13:01:20.229973+00:00
AAPL,1Day,2023-06-05 04:00:00+00:00,182.67,184.95,178.04,179.685,2085987,17903,181.90016,alpaca,iex,raw,2026-05-13 13:01:20.229981+00:00
AAPL,1Day,2023-06-06 04:00:00+00:00,179.985,180.07,177.445,179.19,1132662,11557,178.57052,alpaca,iex,raw,2026-05-13 13:01:20.229990+00:00
AAPL,1Day,2023-06-07 04:00:00+00:00,178.44,181.185,177.33,177.82,969870,9841,178.755332,alpaca,iex,raw,2026-05-13 13:01:20.229998+00:00
AAPL,1Day,2023-06-08 04:00:00+00:00,177.92,180.825,177.47,180.56,707791,7695,179.579377,alpaca,iex,raw,2026-05-13 13:01:20.230007+00:00
AAPL,1Day,2023-06-09 04:00:00+00:00,181.53,182.2,180.68,181.07,733481,7698,181.503779,alpaca,iex,raw,2026-05-13 13:01:20.230015+00:00
AAPL,1Day,2023-06-12 04:00:00+00:00,181.285,183.885,180.97,183.835,1006313,9251,182.716965,alpaca,iex,raw,2026-05-13 13:01:20.230024+00:00
AAPL,1Day,2023-06-13 04:00:00+00:00,182.755,184.14,182.44,183.31,804867,8644,183.179651,alpaca,iex,raw,2026-05-13 13:01:20.230032+00:00
AAPL,1Day,2023-06-14 04:00:00+00:00,183.445,184.39,182.05,183.95,777714,8672,183.623829,alpaca,iex,raw,2026-05-13 13:01:20.230041+00:00
AAPL,1Day,2023-06-15 04:00:00+00:00,184.07,186.51,183.78,185.99,952122,10551,185.500599,alpaca,iex,raw,2026-05-13 13:01:20.230049+00:00
AAPL,1Day,2023-06-16 04:00:00+00:00,186.71,186.8,184.66,185.02,1054986,11210,185.340327,alpaca,iex,raw,2026-05-13 13:01:20.230057+00:00
AAPL,1Day,2023-06-20 04:00:00+00:00,184.57,186.08,184.52,185.03,699593,7461,185.38394,alpaca,iex,raw,2026-05-13 13:01:20.230065+00:00
AAPL,1Day,2023-06-21 04:00:00+00:00,184.76,185.39,182.605,183.93,833637,7889,184.027092,alpaca,iex,raw,2026-05-13 13:01:20.230074+00:00
AAPL,1Day,2023-06-22 04:00:00+00:00,183.74,187.045,183.7,186.965,691321,7273,186.078879,alpaca,iex,raw,2026-05-13 13:01:20.230082+00:00
AAPL,1Day,2023-06-23 04:00:00+00:00,185.49,187.56,185.015,186.64,759877,8425,186.463272,alpaca,iex,raw,2026-05-13 13:01:20.230090+00:00
AAPL,1Day,2023-06-26 04:00:00+00:00,186.83,187.995,185.24,185.32,784143,7773,186.432273,alpaca,iex,raw,2026-05-13 13:01:20.230099+00:00
AAPL,1Day,2023-06-27 04:00:00+00:00,185.91,188.39,185.685,188.04,1037113,8973,187.449918,alpaca,iex,raw,2026-05-13 13:01:20.230107+00:00
AAPL,1Day,2023-06-28 04:00:00+00:00,188.12,189.895,187.61,189.29,884623,8936,188.869036,alpaca,iex,raw,2026-05-13 13:01:20.230116+00:00
AAPL,1Day,2023-06-29 04:00:00+00:00,189.23,190.03,188.95,189.595,680666,6839,189.493704,alpaca,iex,raw,2026-05-13 13:01:20.230124+00:00
AAPL,1Day,2023-06-30 04:00:00+00:00,191.8,194.44,191.28,193.92,1333327,12216,192.862877,alpaca,iex,raw,2026-05-13 13:01:20.230132+00:00
AAPL,1Day,2023-07-03 04:00:00+00:00,193.76,193.87,191.765,192.5,503190,5773,192.59156,alpaca,iex,raw,2026-05-13 13:01:20.230141+00:00
AAPL,1Day,2023-07-05 04:00:00+00:00,191.67,192.98,190.64,191.335,695988,7498,191.710251,alpaca,iex,raw,2026-05-13 13:01:20.230149+00:00
AAPL,1Day,2023-07-06 04:00:00+00:00,189.91,192.01,189.22,191.835,646920,8149,190.671546,alpaca,iex,raw,2026-05-13 13:01:20.230158+00:00
AAPL,1Day,2023-07-07 04:00:00+00:00,191.41,192.67,190.25,190.695,739144,8086,191.471728,alpaca,iex,raw,2026-05-13 13:01:20.230166+00:00
AAPL,1Day,2023-07-10 04:00:00+00:00,189.26,189.98,187.05,188.62,1035040,10798,188.215583,alpaca,iex,raw,2026-05-13 13:01:20.230175+00:00
AAPL,1Day,2023-07-11 04:00:00+00:00,189.3,189.3,186.61,188.05,682882,7963,187.712841,alpaca,iex,raw,2026-05-13 13:01:20.230183+00:00
AAPL,1Day,2023-07-12 04:00:00+00:00,189.75,191.68,188.48,189.75,881652,8918,190.021264,alpaca,iex,raw,2026-05-13 13:01:20.230192+00:00
AAPL,1Day,2023-07-13 04:00:00+00:00,190.33,191.175,189.78,190.54,661341,6531,190.590789,alpaca,iex,raw,2026-05-13 13:01:20.230200+00:00
