symbol,timeframe,timestamp,open,high,low,close,volume,trade_count,vwap,source,feed,adjustment,downloaded_at
AAPL,1Min,2023-05-15 13:30:00+00:00,173.13,173.2,172.845,173.0,19794,210,173.002325,alpaca,iex,raw,2026-05-13 13:00:44.790754+00:00
AAPL,1Min,2023-05-15 13:31:00+00:00,173.0,173.11,172.925,173.055,5052,54,173.003117,alpaca,iex,raw,2026-05-13 13:00:44.790817+00:00
AAPL,1Min,2023-05-15 13:32:00+00:00,173.02,173.18,172.985,173.015,5350,67,173.098859,alpaca,iex,raw,2026-05-13 13:00:44.790850+00:00
AAPL,1Min,2023-05-15 13:33:00+00:00,173.04,173.17,172.94,173.09,8200,80,173.040559,alpaca,iex,raw,2026-05-13 13:00:44.790877+00:00
AAPL,1Min,2023-05-15 13:34:00+00:00,173.09,173.11,172.94,172.94,2777,36,173.025,alpaca,iex,raw,2026-05-13 13:00:44.790902+00:00
AAPL,1Min,2023-05-15 13:35:00+00:00,172.94,173.05,172.885,173.02,6486,48,172.966504,alpaca,iex,raw,2026-05-13 13:00:44.790928+00:00
AAPL,1Min,2023-05-15 13:36:00+00:00,173.005,173.005,172.835,172.835,3129,27,172.902833,alpaca,iex,raw,2026-05-13 13:00:44.790973+00:00
AAPL,1Min,2023-05-15 13:37:00+00:00,172.725,172.915,172.725,172.87,4838,33,172.837813,alpaca,iex,raw,2026-05-13 13:00:44.791016+00:00
AAPL,1Min,2023-05-15 13:38:00+00:00,172.83,172.835,172.785,172.79,2851,25,172.800098,alpaca,iex,raw,2026-05-13 13:00:44.791040+00:00
AAPL,1Min,2023-05-15 13:39:00+00:00,172.65,172.685,172.575,172.655,2023,26,172.624737,alpaca,iex,raw,2026-05-13 13:00:44.791065+00:00
AAPL,1Min,2023-05-15 13:40:00+00:00,172.57,172.62,172.57,172.62,1075,13,172.6145,alpaca,iex,raw,2026-05-13 13:00:44.791089+00:00
AAPL,1Min,2023-05-15 13:41:00+00:00,172.68,172.68,172.5,172.5,1531,28,172.5885,alpaca,iex,raw,2026-05-13 13:00:44.791114+00:00
AAPL,1Min,2023-05-15 13:42:00+00:00,172.635,172.75,172.61,172.67,2857,24,172.676667,alpaca,iex,raw,2026-05-13 13:00:44.791138+00:00
AAPL,1Min,2023-05-15 13:43:00+00:00,172.64,172.64,172.62,172.62,1227,14,172.625,alpaca,iex,raw,2026-05-13 13:00:44.791161+00:00
AAPL,1Min,2023-05-15 13:44:00+00:00,172.55,172.6,172.505,172.59,1950,32,172.546563,alpaca,iex,raw,2026-05-13 13:00:44.791185+00:00
AAPL,1Min,2023-05-15 13:45:00+00:00,172.7,172.73,172.7,172.73,698,9,172.718,alpaca,iex,raw,2026-05-13 13:00:44.791218+00:00
AAPL,1Min,2023-05-15 13:46:00+00:00,172.665,172.665,172.47,172.47,1228,17,172.567273,alpaca,iex,raw,2026-05-13 13:00:44.791243+00:00
AAPL,1Min,2023-05-15 13:47:00+00:00,172.495,172.59,172.495,172.535,1016,12,172.563,alpaca,iex,raw,2026-05-13 13:00:44.791280+00:00
AAPL,1Min,2023-05-15 13:48:00+00:00,172.52,172.52,172.4,172.45,1279,17,172.459091,alpaca,iex,raw,2026-05-13 13:00:44.791304+00:00
AAPL,1Min,2023-05-15 13:49:00+00:00,172.45,172.45,172.29,172.29,2540,32,172.357619,alpaca,iex,raw,2026-05-13 13:00:44.791328+00:00
AAPL,1Min,2023-05-15 13:50:00+00:00,172.36,172.36,172.245,172.245,1205,13,172.289167,alpaca,iex,raw,2026-05-13 13:00:44.791351+00:00
AAPL,1Min,2023-05-15 13:51:00+00:00,172.24,172.275,171.975,171.99,5855,59,172.141775,alpaca,iex,raw,2026-05-13 13:00:44.791375+00:00
AAPL,1Min,2023-05-15 13:52:00+00:00,172.005,172.025,171.865,171.865,4402,35,171.961945,alpaca,iex,raw,2026-05-13 13:00:44.791398+00:00
AAPL,1Min,2023-05-15 13:53:00+00:00,171.85,171.985,171.83,171.93,2414,22,171.931739,alpaca,iex,raw,2026-05-13 13:00:44.791422+00:00
AAPL,1Min,2023-05-15 13:54:00+00:00,171.95,172.075,171.945,172.04,1763,20,172.032582,alpaca,iex,raw,2026-05-13 13:00:44.791445+00:00
AAPL,1Min,2023-05-15 13:55:00+00:00,172.07,172.105,171.98,172.03,3082,31,172.052143,alpaca,iex,raw,2026-05-13 13:00:44.791469+00:00
AAPL,1Min,2023-05-15 13:56:00+00:00,172.02,172.095,172.02,172.07,555,9,172.047,alpaca,iex,raw,2026-05-13 13:00:44.791493+00:00
AAPL,1Min,2023-05-15 13:57:00+00:00,172.11,172.115,172.08,172.08,1695,21,172.09375,alpaca,iex,raw,2026-05-13 13:00:44.791527+00:00
AAPL,1Min,2023-05-15 13:58:00+00:00,172.09,172.13,172.025,172.08,2856,27,172.082435,alpaca,iex,raw,2026-05-13 13:00:44.791551+00:00
AAPL,1Min,2023-05-15 13:59:00+00:00,172.07,172.07,171.99,171.99,661,12,172.040833,alpaca,iex,raw,2026-05-13 13:00:44.791575+00:00
AAPL,1Min,2023-05-15 14:00:00+00:00,171.975,172.09,171.975,172.0,1280,14,172.028333,alpaca,iex,raw,2026-05-13 13:00:44.791599+00:00
AAPL,1Min,2023-05-15 14:01:00+00:00,171.945,171.945,171.945,171.945,205,5,171.945,alpaca,iex,raw,2026-05-13 13:00:44.791624+00:00
AAPL,1Min,2023-05-15 14:02:00+00:00,171.965,172.02,171.94,171.94,629,9,171.973333,alpaca,iex,raw,2026-05-13 13:00:44.791659+00:00
AAPL,1Min,2023-05-15 14:03:00+00:00,171.85,171.85,171.78,171.78,942,12,171.8075,alpaca,iex,raw,2026-05-13 13:00:44.791683+00:00
AAPL,1Min,2023-05-15 14:04:00+00:00,171.84,171.87,171.83,171.87,433,6,171.845,alpaca,iex,raw,2026-05-13 13:00:44.791707+00:00
AAPL,1Min,2023-05-15 14:05:00+00:00,171.8,171.8,171.8,171.8,442,11,171.8,alpaca,iex,raw,2026-05-13 13:00:44.791730+00:00
