symbol,timeframe,timestamp,open,high,low,close,volume,trade_count,vwap,source,feed,adjustment,downloaded_at
AMZN,1Day,2023-05-15 04:00:00+00:00,111.12,112.25,109.25,111.26,1304571,9488,110.542714,alpaca,iex,raw,2026-05-13 13:12:04.374042+00:00
AMZN,1Day,2023-05-16 04:00:00+00:00,111.335,114.77,111.105,113.41,1188002,10079,113.642536,alpaca,iex,raw,2026-05-13 13:12:04.374066+00:00
AMZN,1Day,2023-05-17 04:00:00+00:00,114.8,115.82,114.225,115.48,1194806,11603,115.240634,alpaca,iex,raw,2026-05-13 13:12:04.374078+00:00
AMZN,1Day,2023-05-18 04:00:00+00:00,116.71,118.59,116.34,118.16,1445279,11974,117.609018,alpaca,iex,raw,2026-05-13 13:12:04.374089+00:00
AMZN,1Day,2023-05-19 04:00:00+00:00,118.05,118.28,115.71,116.26,675880,7086,116.633257,alpaca,iex,raw,2026-05-13 13:12:04.374099+00:00
AMZN,1Day,2023-05-22 04:00:00+00:00,116.7,116.75,114.25,115.0,960445,9077,115.175167,alpaca,iex,raw,2026-05-13 13:12:04.374110+00:00
AMZN,1Day,2023-05-23 04:00:00+00:00,114.155,117.135,113.805,115.02,1056999,11162,115.704061,alpaca,iex,raw,2026-05-13 13:12:04.374121+00:00
AMZN,1Day,2023-05-24 04:00:00+00:00,115.38,117.34,115.06,116.78,956824,9224,116.314987,alpaca,iex,raw,2026-05-13 13:12:04.374131+00:00
AMZN,1Day,2023-05-25 04:00:00+00:00,116.59,116.845,114.335,115.015,1192258,11517,115.077774,alpaca,iex,raw,2026-05-13 13:12:04.374141+00:00
AMZN,1Day,2023-05-26 04:00:00+00:00,116.03,121.495,116.03,120.08,1817028,16205,119.735966,alpaca,iex,raw,2026-05-13 13:12:04.374152+00:00
AMZN,1Day,2023-05-30 04:00:00+00:00,122.34,122.875,119.87,121.67,1081665,8964,121.636473,alpaca,iex,raw,2026-05-13 13:12:04.374162+00:00
AMZN,1Day,2023-05-31 04:00:00+00:00,121.33,122.01,119.18,120.58,941874,7660,120.516978,alpaca,iex,raw,2026-05-13 13:12:04.374172+00:00
AMZN,1Day,2023-06-01 04:00:00+00:00,120.65,123.49,120.03,122.775,952549,10644,122.076283,alpaca,iex,raw,2026-05-13 13:12:04.374182+00:00
AMZN,1Day,2023-06-02 04:00:00+00:00,124.94,126.38,124.02,124.25,802248,8018,125.045194,alpaca,iex,raw,2026-05-13 13:12:04.374192+00:00
AMZN,1Day,2023-06-05 04:00:00+00:00,123.345,125.79,123.04,125.38,731230,7308,124.719686,alpaca,iex,raw,2026-05-13 13:12:04.374202+00:00
AMZN,1Day,2023-06-06 04:00:00+00:00,125.07,127.35,125.07,126.59,773116,7947,126.469424,alpaca,iex,raw,2026-05-13 13:12:04.374212+00:00
AMZN,1Day,2023-06-07 04:00:00+00:00,127.09,127.35,120.655,121.25,1634127,14915,123.113133,alpaca,iex,raw,2026-05-13 13:12:04.374222+00:00
AMZN,1Day,2023-06-08 04:00:00+00:00,123.085,125.6,122.29,124.22,869063,9430,124.25848,alpaca,iex,raw,2026-05-13 13:12:04.374232+00:00
AMZN,1Day,2023-06-09 04:00:00+00:00,124.01,125.77,123.215,123.48,733265,8756,124.273324,alpaca,iex,raw,2026-05-13 13:12:04.374242+00:00
AMZN,1Day,2023-06-12 04:00:00+00:00,124.04,126.76,123.53,126.64,797907,8031,125.396747,alpaca,iex,raw,2026-05-13 13:12:04.374252+00:00
AMZN,1Day,2023-06-13 04:00:00+00:00,128.075,128.375,125.19,126.66,962273,8345,126.643364,alpaca,iex,raw,2026-05-13 13:12:04.374262+00:00
AMZN,1Day,2023-06-14 04:00:00+00:00,126.785,126.94,124.15,126.43,743775,7165,125.781647,alpaca,iex,raw,2026-05-13 13:12:04.374271+00:00
AMZN,1Day,2023-06-15 04:00:00+00:00,125.275,127.69,124.34,127.1,935984,8680,126.257587,alpaca,iex,raw,2026-05-13 13:12:04.374281+00:00
AMZN,1Day,2023-06-16 04:00:00+00:00,127.715,127.795,125.31,125.55,1325533,11404,126.283608,alpaca,iex,raw,2026-05-13 13:12:04.374291+00:00
AMZN,1Day,2023-06-20 04:00:00+00:00,124.91,127.24,124.55,125.83,845210,8423,125.811428,alpaca,iex,raw,2026-05-13 13:12:04.374301+00:00
AMZN,1Day,2023-06-21 04:00:00+00:00,125.6,126.72,123.87,124.83,929224,8603,125.198531,alpaca,iex,raw,2026-05-13 13:12:04.374311+00:00
AMZN,1Day,2023-06-22 04:00:00+00:00,125.28,130.315,125.18,130.15,1298619,12442,128.958791,alpaca,iex,raw,2026-05-13 13:12:04.374321+00:00
