symbol,timeframe,timestamp,open,high,low,close,volume,trade_count,vwap,source,feed,adjustment,downloaded_at
AMZN,1Min,2023-05-15 13:30:00+00:00,111.12,111.38,110.75,111.3,29819,271,111.106012,alpaca,iex,raw,2026-05-13 13:11:02.004741+00:00
AMZN,1Min,2023-05-15 13:31:00+00:00,111.385,111.96,111.38,111.88,19543,141,111.647367,alpaca,iex,raw,2026-05-13 13:11:02.004758+00:00
AMZN,1Min,2023-05-15 13:32:00+00:00,111.945,112.04,111.505,111.71,9081,84,111.701957,alpaca,iex,raw,2026-05-13 13:11:02.004767+00:00
AMZN,1Min,2023-05-15 13:33:00+00:00,111.74,112.14,111.66,112.14,10870,81,111.969785,alpaca,iex,raw,2026-05-13 13:11:02.004774+00:00
AMZN,1Min,2023-05-15 13:34:00+00:00,112.13,112.25,112.07,112.22,5807,60,112.14652,alpaca,iex,raw,2026-05-13 13:11:02.004780+00:00
AMZN,1Min,2023-05-15 13:35:00+00:00,112.2,112.2,111.92,112.045,15437,99,112.048517,alpaca,iex,raw,2026-05-13 13:11:02.004788+00:00
AMZN,1Min,2023-05-15 13:36:00+00:00,112.11,112.12,111.8,111.835,5957,59,111.943304,alpaca,iex,raw,2026-05-13 13:11:02.004795+00:00
AMZN,1Min,2023-05-15 13:37:00+00:00,111.85,111.85,111.62,111.68,22207,108,111.720457,alpaca,iex,raw,2026-05-13 13:11:02.004801+00:00
AMZN,1Min,2023-05-15 13:38:00+00:00,111.675,111.69,111.495,111.625,8494,60,111.639026,alpaca,iex,raw,2026-05-13 13:11:02.004808+00:00
AMZN,1Min,2023-05-15 13:39:00+00:00,111.575,111.575,111.07,111.215,22332,57,111.236249,alpaca,iex,raw,2026-05-13 13:11:02.004815+00:00
AMZN,1Min,2023-05-15 13:40:00+00:00,111.215,111.39,111.165,111.375,8630,67,111.273956,alpaca,iex,raw,2026-05-13 13:11:02.004822+00:00
AMZN,1Min,2023-05-15 13:41:00+00:00,111.375,111.375,111.065,111.065,4663,37,111.242416,alpaca,iex,raw,2026-05-13 13:11:02.004828+00:00
AMZN,1Min,2023-05-15 13:42:00+00:00,111.075,111.4,111.075,111.345,35911,125,111.289751,alpaca,iex,raw,2026-05-13 13:11:02.004835+00:00
AMZN,1Min,2023-05-15 13:43:00+00:00,111.345,111.46,111.22,111.23,9323,45,111.388079,alpaca,iex,raw,2026-05-13 13:11:02.004842+00:00
AMZN,1Min,2023-05-15 13:44:00+00:00,111.17,111.235,111.165,111.235,3921,31,111.201026,alpaca,iex,raw,2026-05-13 13:11:02.004848+00:00
AMZN,1Min,2023-05-15 13:45:00+00:00,111.225,111.33,111.145,111.145,20478,50,111.284103,alpaca,iex,raw,2026-05-13 13:11:02.004855+00:00
AMZN,1Min,2023-05-15 13:46:00+00:00,111.12,111.12,110.85,110.85,2416,27,110.99175,alpaca,iex,raw,2026-05-13 13:11:02.004861+00:00
AMZN,1Min,2023-05-15 13:47:00+00:00,110.86,111.01,110.83,110.845,6606,25,110.9785,alpaca,iex,raw,2026-05-13 13:11:02.004868+00:00
AMZN,1Min,2023-05-15 13:48:00+00:00,110.84,110.92,110.74,110.75,4696,43,110.783787,alpaca,iex,raw,2026-05-13 13:11:02.004875+00:00
AMZN,1Min,2023-05-15 13:49:00+00:00,110.76,110.89,110.615,110.63,5982,41,110.718309,alpaca,iex,raw,2026-05-13 13:11:02.004881+00:00
AMZN,1Min,2023-05-15 13:50:00+00:00,110.62,110.685,110.505,110.515,17615,59,110.59719,alpaca,iex,raw,2026-05-13 13:11:02.004888+00:00
AMZN,1Min,2023-05-15 13:51:00+00:00,110.52,110.665,110.52,110.595,2375,27,110.5995,alpaca,iex,raw,2026-05-13 13:11:02.004894+00:00
AMZN,1Min,2023-05-15 13:52:00+00:00,110.59,110.62,110.42,110.45,4391,48,110.51676,alpaca,iex,raw,2026-05-13 13:11:02.004901+00:00
AMZN,1Min,2023-05-15 13:53:00+00:00,110.435,110.495,110.285,110.31,9713,63,110.410201,alpaca,iex,raw,2026-05-13 13:11:02.004907+00:00
AMZN,1Min,2023-05-15 13:54:00+00:00,110.31,110.425,110.31,110.42,8201,82,110.375114,alpaca,iex,raw,2026-05-13 13:11:02.004914+00:00
AMZN,1Min,2023-05-15 13:55:00+00:00,110.43,110.56,110.43,110.485,8024,81,110.511795,alpaca,iex,raw,2026-05-13 13:11:02.004921+00:00
AMZN,1Min,2023-05-15 13:56:00+00:00,110.475,110.475,110.25,110.255,6434,69,110.312968,alpaca,iex,raw,2026-05-13 13:11:02.004927+00:00
AMZN,1Min,2023-05-15 13:57:00+00:00,110.29,110.35,110.24,110.285,4254,35,110.296707,alpaca,iex,raw,2026-05-13 13:11:02.004934+00:00
AMZN,1Min,2023-05-15 13:58:00+00:00,110.275,110.305,110.045,110.16,22981,82,110.111567,alpaca,iex,raw,2026-05-13 13:11:02.004940+00:00
AMZN,1Min,2023-05-15 13:59:00+00:00,110.145,110.185,109.96,109.99,11876,65,110.016619,alpaca,iex,raw,2026-05-13 13:11:02.004947+00:00
AMZN,1Min,2023-05-15 14:00:00+00:00,110.035,110.23,110.035,110.21,13980,44,110.17765,alpaca,iex,raw,2026-05-13 13:11:02.004999+00:00
