symbol,timeframe,timestamp,open,high,low,close,volume,trade_count,vwap,source,feed,adjustment,downloaded_at
AVGO,1Min,2023-05-15 13:30:00+00:00,631.88,632.29,631.85,632.23,646,14,632.0625,alpaca,iex,raw,2026-05-13 13:16:34.942164+00:00
AVGO,1Min,2023-05-15 13:31:00+00:00,631.98,631.99,631.98,631.99,213,6,631.985,alpaca,iex,raw,2026-05-13 13:16:34.942180+00:00
AVGO,1Min,2023-05-15 13:32:00+00:00,633.14,633.14,632.02,632.02,476,10,632.62918,alpaca,iex,raw,2026-05-13 13:16:34.942188+00:00
AVGO,1Min,2023-05-15 13:33:00+00:00,630.975,630.975,630.94,630.94,608,14,630.9575,alpaca,iex,raw,2026-05-13 13:16:34.942195+00:00
AVGO,1Min,2023-05-15 13:35:00+00:00,630.74,630.74,630.74,630.74,104,3,630.74,alpaca,iex,raw,2026-05-13 13:16:34.942201+00:00
AVGO,1Min,2023-05-15 13:38:00+00:00,629.56,629.585,629.56,629.585,580,16,629.5725,alpaca,iex,raw,2026-05-13 13:16:34.942208+00:00
AVGO,1Min,2023-05-15 13:41:00+00:00,628.98,628.98,628.98,628.98,100,1,628.98,alpaca,iex,raw,2026-05-13 13:16:34.942215+00:00
AVGO,1Min,2023-05-15 13:42:00+00:00,629.68,629.68,629.68,629.68,248,5,629.68,alpaca,iex,raw,2026-05-13 13:16:34.942221+00:00
AVGO,1Min,2023-05-15 13:44:00+00:00,631.235,631.235,631.235,631.235,225,3,631.235,alpaca,iex,raw,2026-05-13 13:16:34.942227+00:00
AVGO,1Min,2023-05-15 13:45:00+00:00,631.49,631.49,631.49,631.49,110,2,631.49,alpaca,iex,raw,2026-05-13 13:16:34.942234+00:00
AVGO,1Min,2023-05-15 13:47:00+00:00,630.83,630.83,630.83,630.83,222,4,630.83,alpaca,iex,raw,2026-05-13 13:16:34.942240+00:00
AVGO,1Min,2023-05-15 13:48:00+00:00,630.92,630.92,630.92,630.92,129,2,630.92,alpaca,iex,raw,2026-05-13 13:16:34.942247+00:00
AVGO,1Min,2023-05-15 13:49:00+00:00,630.28,630.34,630.28,630.28,604,11,630.295,alpaca,iex,raw,2026-05-13 13:16:34.942253+00:00
AVGO,1Min,2023-05-15 13:50:00+00:00,630.28,630.28,630.28,630.28,123,3,630.28,alpaca,iex,raw,2026-05-13 13:16:34.942260+00:00
AVGO,1Min,2023-05-15 13:51:00+00:00,630.32,630.32,630.32,630.32,160,5,630.32,alpaca,iex,raw,2026-05-13 13:16:34.942267+00:00
AVGO,1Min,2023-05-15 13:59:00+00:00,630.09,630.09,630.08,630.08,572,13,630.085,alpaca,iex,raw,2026-05-13 13:16:34.942273+00:00
AVGO,1Min,2023-05-15 14:00:00+00:00,630.47,630.47,630.47,630.47,205,5,630.47,alpaca,iex,raw,2026-05-13 13:16:34.942279+00:00
AVGO,1Min,2023-05-15 14:06:00+00:00,630.57,630.6,630.57,630.6,250,3,630.585,alpaca,iex,raw,2026-05-13 13:16:34.942285+00:00
AVGO,1Min,2023-05-15 14:11:00+00:00,630.0,630.01,630.0,630.01,250,3,630.005,alpaca,iex,raw,2026-05-13 13:16:34.942292+00:00
AVGO,1Min,2023-05-15 14:12:00+00:00,629.86,629.86,629.86,629.86,100,1,629.86,alpaca,iex,raw,2026-05-13 13:16:34.942298+00:00
AVGO,1Min,2023-05-15 14:13:00+00:00,630.09,630.09,630.09,630.09,146,7,630.09,alpaca,iex,raw,2026-05-13 13:16:34.942304+00:00
AVGO,1Min,2023-05-15 14:17:00+00:00,629.31,629.31,629.31,629.31,206,3,629.31,alpaca,iex,raw,2026-05-13 13:16:34.942311+00:00
AVGO,1Min,2023-05-15 14:26:00+00:00,629.4,629.4,629.4,629.4,100,1,629.4,alpaca,iex,raw,2026-05-13 13:16:34.942317+00:00
AVGO,1Min,2023-05-15 14:29:00+00:00,629.24,629.24,629.24,629.24,200,3,629.24,alpaca,iex,raw,2026-05-13 13:16:34.942323+00:00
AVGO,1Min,2023-05-15 14:39:00+00:00,629.37,629.37,629.37,629.37,151,3,629.37,alpaca,iex,raw,2026-05-13 13:16:34.942330+00:00
AVGO,1Min,2023-05-15 14:40:00+00:00,629.41,629.41,629.41,629.41,100,1,629.41,alpaca,iex,raw,2026-05-13 13:16:34.942336+00:00
AVGO,1Min,2023-05-15 14:49:00+00:00,628.82,628.83,628.82,628.83,239,7,628.825,alpaca,iex,raw,2026-05-13 13:16:34.942343+00:00
