symbol,timeframe,timestamp,open,high,low,close,volume,trade_count,vwap,source,feed,adjustment,downloaded_at
GOOGL,1Day,2023-05-15 04:00:00+00:00,116.3,118.46,116.3,116.55,702914,6622,117.059852,alpaca,iex,raw,2026-05-13 13:13:44.315896+00:00
GOOGL,1Day,2023-05-16 04:00:00+00:00,116.575,120.74,116.535,119.51,995603,8722,119.304461,alpaca,iex,raw,2026-05-13 13:13:44.315913+00:00
GOOGL,1Day,2023-05-17 04:00:00+00:00,119.68,121.67,118.895,120.84,631154,6543,120.242523,alpaca,iex,raw,2026-05-13 13:13:44.315921+00:00
GOOGL,1Day,2023-05-18 04:00:00+00:00,121.035,123.29,120.84,122.85,558158,6124,122.319142,alpaca,iex,raw,2026-05-13 13:13:44.315928+00:00
GOOGL,1Day,2023-05-19 04:00:00+00:00,123.51,125.95,122.155,122.78,783502,6586,123.384851,alpaca,iex,raw,2026-05-13 13:13:44.315934+00:00
GOOGL,1Day,2023-05-22 04:00:00+00:00,122.94,126.385,122.94,125.06,599176,5102,125.266599,alpaca,iex,raw,2026-05-13 13:13:44.315942+00:00
GOOGL,1Day,2023-05-23 04:00:00+00:00,124.17,124.62,122.22,122.61,596191,6989,123.3751,alpaca,iex,raw,2026-05-13 13:13:44.315955+00:00
GOOGL,1Day,2023-05-24 04:00:00+00:00,121.095,121.875,119.88,120.89,792693,8430,120.729818,alpaca,iex,raw,2026-05-13 13:13:44.315963+00:00
GOOGL,1Day,2023-05-25 04:00:00+00:00,124.51,125.31,121.99,123.47,1347419,10158,123.563325,alpaca,iex,raw,2026-05-13 13:13:44.315969+00:00
GOOGL,1Day,2023-05-26 04:00:00+00:00,123.095,125.25,122.51,124.6,657646,7740,124.426843,alpaca,iex,raw,2026-05-13 13:13:44.315976+00:00
GOOGL,1Day,2023-05-30 04:00:00+00:00,125.64,125.64,122.01,123.7,841651,7819,123.526763,alpaca,iex,raw,2026-05-13 13:13:44.315982+00:00
GOOGL,1Day,2023-05-31 04:00:00+00:00,122.77,124.04,122.525,122.94,413555,3963,123.117583,alpaca,iex,raw,2026-05-13 13:13:44.315989+00:00
GOOGL,1Day,2023-06-01 04:00:00+00:00,122.96,124.36,122.64,123.72,687835,7463,123.346726,alpaca,iex,raw,2026-05-13 13:13:44.315995+00:00
GOOGL,1Day,2023-06-02 04:00:00+00:00,124.025,126.145,123.79,124.64,587609,6202,124.945202,alpaca,iex,raw,2026-05-13 13:13:44.316001+00:00
GOOGL,1Day,2023-06-05 04:00:00+00:00,123.85,127.41,123.85,126.01,542741,5333,126.246784,alpaca,iex,raw,2026-05-13 13:13:44.316008+00:00
GOOGL,1Day,2023-06-06 04:00:00+00:00,125.99,128.285,125.36,127.3,575058,5864,127.252261,alpaca,iex,raw,2026-05-13 13:13:44.316014+00:00
GOOGL,1Day,2023-06-07 04:00:00+00:00,127.09,129.025,122.13,122.58,940450,9648,124.181208,alpaca,iex,raw,2026-05-13 13:13:44.316020+00:00
GOOGL,1Day,2023-06-08 04:00:00+00:00,122.11,123.185,121.56,122.15,608269,6754,122.210424,alpaca,iex,raw,2026-05-13 13:13:44.316027+00:00
GOOGL,1Day,2023-06-09 04:00:00+00:00,122.19,123.75,121.93,122.27,403454,4270,122.769089,alpaca,iex,raw,2026-05-13 13:13:44.316033+00:00
GOOGL,1Day,2023-06-12 04:00:00+00:00,122.78,124.02,121.68,123.66,596421,5528,122.67312,alpaca,iex,raw,2026-05-13 13:13:44.316040+00:00
GOOGL,1Day,2023-06-13 04:00:00+00:00,124.995,125.145,123.19,123.84,396094,4829,124.091354,alpaca,iex,raw,2026-05-13 13:13:44.316046+00:00
GOOGL,1Day,2023-06-14 04:00:00+00:00,123.15,124.03,121.45,123.69,336744,3862,123.047757,alpaca,iex,raw,2026-05-13 13:13:44.316052+00:00
GOOGL,1Day,2023-06-15 04:00:00+00:00,123.19,125.45,122.43,125.13,559762,5447,124.070982,alpaca,iex,raw,2026-05-13 13:13:44.316059+00:00
GOOGL,1Day,2023-06-16 04:00:00+00:00,125.76,125.83,123.3,123.58,438486,4694,124.253458,alpaca,iex,raw,2026-05-13 13:13:44.316065+00:00
GOOGL,1Day,2023-06-20 04:00:00+00:00,122.96,124.53,122.185,123.12,378445,4929,123.13309,alpaca,iex,raw,2026-05-13 13:13:44.316071+00:00
