symbol,timeframe,timestamp,open,high,low,close,volume,trade_count,vwap,source,feed,adjustment,downloaded_at
GOOGL,1Min,2023-05-15 13:00:00+00:00,116.16,116.16,116.16,116.16,358,15,116.16,alpaca,iex,raw,2026-05-13 13:12:39.390447+00:00
GOOGL,1Min,2023-05-15 13:30:00+00:00,116.3,116.7,116.3,116.43,11308,122,116.55813,alpaca,iex,raw,2026-05-13 13:12:39.390519+00:00
GOOGL,1Min,2023-05-15 13:31:00+00:00,116.435,116.99,116.37,116.94,4861,54,116.659071,alpaca,iex,raw,2026-05-13 13:12:39.390557+00:00
GOOGL,1Min,2023-05-15 13:32:00+00:00,116.97,117.36,116.96,117.08,9292,87,117.166425,alpaca,iex,raw,2026-05-13 13:12:39.390589+00:00
GOOGL,1Min,2023-05-15 13:33:00+00:00,117.16,117.16,116.95,117.09,3696,30,117.060397,alpaca,iex,raw,2026-05-13 13:12:39.390618+00:00
GOOGL,1Min,2023-05-15 13:34:00+00:00,117.15,117.17,117.04,117.11,6661,33,117.105932,alpaca,iex,raw,2026-05-13 13:12:39.390666+00:00
GOOGL,1Min,2023-05-15 13:35:00+00:00,117.085,117.165,117.085,117.14,1508,16,117.131538,alpaca,iex,raw,2026-05-13 13:12:39.390696+00:00
GOOGL,1Min,2023-05-15 13:36:00+00:00,117.2,117.84,117.2,117.685,10221,65,117.636148,alpaca,iex,raw,2026-05-13 13:12:39.390724+00:00
GOOGL,1Min,2023-05-15 13:37:00+00:00,117.69,117.97,117.69,117.97,2910,36,117.831957,alpaca,iex,raw,2026-05-13 13:12:39.390752+00:00
GOOGL,1Min,2023-05-15 13:38:00+00:00,117.96,118.17,117.715,117.93,9605,107,118.032295,alpaca,iex,raw,2026-05-13 13:12:39.390781+00:00
GOOGL,1Min,2023-05-15 13:39:00+00:00,117.91,117.945,117.69,117.705,5079,63,117.800568,alpaca,iex,raw,2026-05-13 13:12:39.390821+00:00
GOOGL,1Min,2023-05-15 13:40:00+00:00,117.7,117.93,117.68,117.93,3850,55,117.775022,alpaca,iex,raw,2026-05-13 13:12:39.390854+00:00
GOOGL,1Min,2023-05-15 13:41:00+00:00,117.95,118.095,117.77,117.99,5764,57,117.910566,alpaca,iex,raw,2026-05-13 13:12:39.390883+00:00
GOOGL,1Min,2023-05-15 13:42:00+00:00,117.91,118.07,117.91,118.055,3079,28,118.005517,alpaca,iex,raw,2026-05-13 13:12:39.390912+00:00
GOOGL,1Min,2023-05-15 13:43:00+00:00,118.08,118.29,118.03,118.29,3092,34,118.157692,alpaca,iex,raw,2026-05-13 13:12:39.390941+00:00
GOOGL,1Min,2023-05-15 13:44:00+00:00,118.155,118.25,118.12,118.12,4092,32,118.160406,alpaca,iex,raw,2026-05-13 13:12:39.391012+00:00
GOOGL,1Min,2023-05-15 13:45:00+00:00,118.2,118.46,118.2,118.36,4564,25,118.339545,alpaca,iex,raw,2026-05-13 13:12:39.391041+00:00
GOOGL,1Min,2023-05-15 13:46:00+00:00,118.33,118.395,117.985,118.065,4735,27,118.143948,alpaca,iex,raw,2026-05-13 13:12:39.391070+00:00
GOOGL,1Min,2023-05-15 13:47:00+00:00,117.925,117.925,117.82,117.85,2130,16,117.86881,alpaca,iex,raw,2026-05-13 13:12:39.391098+00:00
GOOGL,1Min,2023-05-15 13:48:00+00:00,117.89,118.005,117.89,117.91,1700,8,117.950882,alpaca,iex,raw,2026-05-13 13:12:39.391125+00:00
GOOGL,1Min,2023-05-15 13:49:00+00:00,118.05,118.08,117.79,117.79,2312,22,117.903295,alpaca,iex,raw,2026-05-13 13:12:39.391153+00:00
GOOGL,1Min,2023-05-15 13:50:00+00:00,117.81,117.81,117.555,117.555,4595,33,117.71381,alpaca,iex,raw,2026-05-13 13:12:39.391181+00:00
GOOGL,1Min,2023-05-15 13:51:00+00:00,117.6,117.645,117.36,117.365,5291,44,117.548506,alpaca,iex,raw,2026-05-13 13:12:39.391208+00:00
GOOGL,1Min,2023-05-15 13:52:00+00:00,117.43,117.71,117.41,117.63,6129,31,117.56639,alpaca,iex,raw,2026-05-13 13:12:39.391236+00:00
GOOGL,1Min,2023-05-15 13:53:00+00:00,117.7,117.76,117.65,117.65,1928,18,117.716471,alpaca,iex,raw,2026-05-13 13:12:39.391263+00:00
GOOGL,1Min,2023-05-15 13:54:00+00:00,117.635,117.92,117.635,117.805,2000,15,117.8155,alpaca,iex,raw,2026-05-13 13:12:39.391306+00:00
GOOGL,1Min,2023-05-15 13:55:00+00:00,117.82,117.885,117.72,117.72,1815,17,117.854722,alpaca,iex,raw,2026-05-13 13:12:39.391336+00:00
GOOGL,1Min,2023-05-15 13:56:00+00:00,117.815,117.92,117.74,117.79,1822,21,117.834063,alpaca,iex,raw,2026-05-13 13:12:39.391379+00:00
GOOGL,1Min,2023-05-15 13:57:00+00:00,117.895,117.99,117.87,117.99,1878,14,117.927222,alpaca,iex,raw,2026-05-13 13:12:39.391408+00:00
GOOGL,1Min,2023-05-15 13:58:00+00:00,117.97,117.97,117.72,117.855,1969,21,117.830231,alpaca,iex,raw,2026-05-13 13:12:39.391436+00:00
GOOGL,1Min,2023-05-15 13:59:00+00:00,117.835,117.9,117.78,117.78,1465,17,117.840104,alpaca,iex,raw,2026-05-13 13:12:39.391464+00:00
GOOGL,1Min,2023-05-15 14:00:00+00:00,117.79,117.825,117.555,117.595,5280,42,117.638533,alpaca,iex,raw,2026-05-13 13:12:39.391491+00:00
GOOGL,1Min,2023-05-15 14:01:00+00:00,117.62,117.63,117.495,117.495,3808,22,117.596267,alpaca,iex,raw,2026-05-13 13:12:39.391519+00:00
GOOGL,1Min,2023-05-15 14:02:00+00:00,117.5,117.59,117.42,117.42,2653,17,117.493368,alpaca,iex,raw,2026-05-13 13:12:39.391548+00:00
GOOGL,1Min,2023-05-15 14:03:00+00:00,117.4,117.4,117.215,117.215,1654,26,117.289615,alpaca,iex,raw,2026-05-13 13:12:39.391576+00:00
GOOGL,1Min,2023-05-15 14:04:00+00:00,117.37,117.5,117.37,117.4,4541,30,117.466805,alpaca,iex,raw,2026-05-13 13:12:39.391620+00:00
GOOGL,1Min,2023-05-15 14:05:00+00:00,117.33,117.36,117.31,117.36,802,10,117.345,alpaca,iex,raw,2026-05-13 13:12:39.391648+00:00
GOOGL,1Min,2023-05-15 14:06:00+00:00,117.29,117.29,117.16,117.165,1621,16,117.184,alpaca,iex,raw,2026-05-13 13:12:39.391676+00:00
GOOGL,1Min,2023-05-15 14:07:00+00:00,117.15,117.27,117.15,117.22,1731,24,117.220313,alpaca,iex,raw,2026-05-13 13:12:39.391703+00:00
GOOGL,1Min,2023-05-15 14:08:00+00:00,117.19,117.19,117.19,117.19,788,6,117.19,alpaca,iex,raw,2026-05-13 13:12:39.391731+00:00
GOOGL,1Min,2023-05-15 14:09:00+00:00,117.15,117.23,117.09,117.19,2517,24,117.153958,alpaca,iex,raw,2026-05-13 13:12:39.391758+00:00
GOOGL,1Min,2023-05-15 14:10:00+00:00,117.245,117.245,117.19,117.19,1612,10,117.232667,alpaca,iex,raw,2026-05-13 13:12:39.391787+00:00
GOOGL,1Min,2023-05-15 14:11:00+00:00,117.16,117.16,117.035,117.055,2113,15,117.057385,alpaca,iex,raw,2026-05-13 13:12:39.391852+00:00
GOOGL,1Min,2023-05-15 14:12:00+00:00,117.01,117.13,116.93,116.935,13417,108,117.057273,alpaca,iex,raw,2026-05-13 13:12:39.391884+00:00
GOOGL,1Min,2023-05-15 14:13:00+00:00,116.98,116.995,116.91,116.95,1613,21,116.955833,alpaca,iex,raw,2026-05-13 13:12:39.391912+00:00
GOOGL,1Min,2023-05-15 14:14:00+00:00,116.955,116.955,116.93,116.93,311,4,116.943333,alpaca,iex,raw,2026-05-13 13:12:39.391971+00:00
GOOGL,1Min,2023-05-15 14:15:00+00:00,116.905,116.97,116.895,116.97,1374,17,116.936154,alpaca,iex,raw,2026-05-13 13:12:39.392002+00:00
GOOGL,1Min,2023-05-15 14:16:00+00:00,116.995,117.04,116.96,117.04,1206,14,116.988182,alpaca,iex,raw,2026-05-13 13:12:39.392029+00:00
GOOGL,1Min,2023-05-15 14:17:00+00:00,117.08,117.13,117.05,117.085,1970,19,117.077222,alpaca,iex,raw,2026-05-13 13:12:39.392057+00:00
GOOGL,1Min,2023-05-15 14:18:00+00:00,117.03,117.2,117.03,117.195,1118,15,117.147273,alpaca,iex,raw,2026-05-13 13:12:39.392084+00:00
GOOGL,1Min,2023-05-15 14:19:00+00:00,117.115,117.115,117.0,117.0,404,9,117.04,alpaca,iex,raw,2026-05-13 13:12:39.392112+00:00
GOOGL,1Min,2023-05-15 14:20:00+00:00,116.99,117.01,116.945,116.945,1536,20,116.963048,alpaca,iex,raw,2026-05-13 13:12:39.392140+00:00
GOOGL,1Min,2023-05-15 14:21:00+00:00,116.96,117.015,116.96,117.0,816,13,117.001719,alpaca,iex,raw,2026-05-13 13:12:39.392168+00:00
GOOGL,1Min,2023-05-15 14:22:00+00:00,117.015,117.015,116.97,116.975,770,10,116.990928,alpaca,iex,raw,2026-05-13 13:12:39.392197+00:00
GOOGL,1Min,2023-05-15 14:23:00+00:00,116.95,116.995,116.945,116.995,676,8,116.959772,alpaca,iex,raw,2026-05-13 13:12:39.392225+00:00
GOOGL,1Min,2023-05-15 14:24:00+00:00,117.0,117.02,116.98,116.98,6180,23,117.002732,alpaca,iex,raw,2026-05-13 13:12:39.392268+00:00
GOOGL,1Min,2023-05-15 14:25:00+00:00,116.98,117.02,116.96,117.02,2101,22,116.99575,alpaca,iex,raw,2026-05-13 13:12:39.392297+00:00
GOOGL,1Min,2023-05-15 14:26:00+00:00,117.005,117.03,117.005,117.02,926,12,117.014444,alpaca,iex,raw,2026-05-13 13:12:39.392325+00:00
GOOGL,1Min,2023-05-15 14:27:00+00:00,117.035,117.07,116.96,116.99,5833,38,117.027157,alpaca,iex,raw,2026-05-13 13:12:39.392364+00:00
GOOGL,1Min,2023-05-15 14:28:00+00:00,117.005,117.01,116.95,116.96,1342,14,116.985671,alpaca,iex,raw,2026-05-13 13:12:39.392394+00:00
GOOGL,1Min,2023-05-15 14:29:00+00:00,116.935,116.95,116.825,116.825,814,11,116.891667,alpaca,iex,raw,2026-05-13 13:12:39.392422+00:00
GOOGL,1Min,2023-05-15 14:30:00+00:00,116.83,116.835,116.73,116.835,2970,28,116.774675,alpaca,iex,raw,2026-05-13 13:12:39.392448+00:00
GOOGL,1Min,2023-05-15 14:31:00+00:00,116.815,116.835,116.63,116.69,4251,29,116.753935,alpaca,iex,raw,2026-05-13 13:12:39.392476+00:00
GOOGL,1Min,2023-05-15 14:32:00+00:00,116.695,116.695,116.635,116.675,3374,34,116.670864,alpaca,iex,raw,2026-05-13 13:12:39.392503+00:00
GOOGL,1Min,2023-05-15 14:33:00+00:00,116.695,116.99,116.695,116.99,2619,32,116.80557,alpaca,iex,raw,2026-05-13 13:12:39.392530+00:00
GOOGL,1Min,2023-05-15 14:34:00+00:00,116.995,117.02,116.995,117.005,1837,18,117.007259,alpaca,iex,raw,2026-05-13 13:12:39.392573+00:00
GOOGL,1Min,2023-05-15 14:35:00+00:00,117.06,117.06,116.985,117.04,3085,29,117.024109,alpaca,iex,raw,2026-05-13 13:12:39.392601+00:00
GOOGL,1Min,2023-05-15 14:36:00+00:00,117.12,117.26,117.12,117.25,1719,21,117.188235,alpaca,iex,raw,2026-05-13 13:12:39.392628+00:00
GOOGL,1Min,2023-05-15 14:37:00+00:00,117.265,117.295,117.26,117.29,2341,20,117.278365,alpaca,iex,raw,2026-05-13 13:12:39.392656+00:00
GOOGL,1Min,2023-05-15 14:38:00+00:00,117.29,117.29,117.185,117.19,2210,21,117.223952,alpaca,iex,raw,2026-05-13 13:12:39.392683+00:00
GOOGL,1Min,2023-05-15 14:39:00+00:00,117.255,117.255,117.14,117.2,2000,13,117.19475,alpaca,iex,raw,2026-05-13 13:12:39.392710+00:00
GOOGL,1Min,2023-05-15 14:40:00+00:00,117.15,117.195,117.15,117.165,2856,15,117.165193,alpaca,iex,raw,2026-05-13 13:12:39.392738+00:00
GOOGL,1Min,2023-05-15 14:41:00+00:00,117.155,117.165,117.095,117.095,2041,21,117.127895,alpaca,iex,raw,2026-05-13 13:12:39.392765+00:00
GOOGL,1Min,2023-05-15 14:42:00+00:00,117.115,117.18,117.02,117.065,1373,13,117.109453,alpaca,iex,raw,2026-05-13 13:12:39.392792+00:00
GOOGL,1Min,2023-05-15 14:43:00+00:00,117.065,117.09,117.045,117.045,1035,11,117.064,alpaca,iex,raw,2026-05-13 13:12:39.392831+00:00
GOOGL,1Min,2023-05-15 14:44:00+00:00,117.005,117.02,116.89,116.89,1872,20,116.975036,alpaca,iex,raw,2026-05-13 13:12:39.392872+00:00
GOOGL,1Min,2023-05-15 14:45:00+00:00,116.915,116.92,116.79,116.88,3202,27,116.867426,alpaca,iex,raw,2026-05-13 13:12:39.392901+00:00
GOOGL,1Min,2023-05-15 14:46:00+00:00,117.065,117.09,116.995,116.995,883,14,117.061429,alpaca,iex,raw,2026-05-13 13:12:39.392931+00:00
GOOGL,1Min,2023-05-15 14:47:00+00:00,117.055,117.08,116.99,116.99,1967,16,117.058797,alpaca,iex,raw,2026-05-13 13:12:39.392975+00:00
GOOGL,1Min,2023-05-15 14:48:00+00:00,117.035,117.07,116.97,116.97,2667,9,117.027685,alpaca,iex,raw,2026-05-13 13:12:39.393005+00:00
GOOGL,1Min,2023-05-15 14:50:00+00:00,117.02,117.025,117.02,117.025,492,11,117.021667,alpaca,iex,raw,2026-05-13 13:12:39.393032+00:00
GOOGL,1Min,2023-05-15 14:51:00+00:00,117.07,117.075,117.0,117.0,600,5,117.04,alpaca,iex,raw,2026-05-13 13:12:39.393060+00:00
GOOGL,1Min,2023-05-15 14:53:00+00:00,117.0,117.0,116.995,116.995,433,11,116.9975,alpaca,iex,raw,2026-05-13 13:12:39.393088+00:00
GOOGL,1Min,2023-05-15 14:54:00+00:00,117.04,117.09,117.04,117.09,323,5,117.063333,alpaca,iex,raw,2026-05-13 13:12:39.393116+00:00
GOOGL,1Min,2023-05-15 14:55:00+00:00,117.12,117.14,117.12,117.12,806,7,117.135,alpaca,iex,raw,2026-05-13 13:12:39.393143+00:00
GOOGL,1Min,2023-05-15 14:56:00+00:00,117.13,117.13,116.97,116.97,1239,10,117.033386,alpaca,iex,raw,2026-05-13 13:12:39.393185+00:00
GOOGL,1Min,2023-05-15 14:57:00+00:00,116.95,117.02,116.92,116.93,1400,16,116.967308,alpaca,iex,raw,2026-05-13 13:12:39.393213+00:00
GOOGL,1Min,2023-05-15 14:58:00+00:00,116.935,116.935,116.905,116.905,507,8,116.9225,alpaca,iex,raw,2026-05-13 13:12:39.393240+00:00
GOOGL,1Min,2023-05-15 14:59:00+00:00,116.88,116.88,116.76,116.76,1253,16,116.810417,alpaca,iex,raw,2026-05-13 13:12:39.393267+00:00
GOOGL,1Min,2023-05-15 15:00:00+00:00,116.755,116.765,116.705,116.765,6263,14,116.71748,alpaca,iex,raw,2026-05-13 13:12:39.393295+00:00
GOOGL,1Min,2023-05-15 15:01:00+00:00,116.9,116.935,116.9,116.935,310,6,116.9175,alpaca,iex,raw,2026-05-13 13:12:39.393334+00:00
GOOGL,1Min,2023-05-15 15:02:00+00:00,116.915,116.965,116.915,116.965,626,4,116.950833,alpaca,iex,raw,2026-05-13 13:12:39.393365+00:00
GOOGL,1Min,2023-05-15 15:05:00+00:00,116.8,116.8,116.8,116.8,130,4,116.8,alpaca,iex,raw,2026-05-13 13:12:39.393393+00:00
GOOGL,1Min,2023-05-15 15:06:00+00:00,116.92,117.01,116.92,117.01,1736,18,116.964688,alpaca,iex,raw,2026-05-13 13:12:39.393422+00:00
GOOGL,1Min,2023-05-15 15:07:00+00:00,117.0,117.0,116.84,116.845,908,13,116.906154,alpaca,iex,raw,2026-05-13 13:12:39.393450+00:00
GOOGL,1Min,2023-05-15 15:08:00+00:00,116.825,116.95,116.825,116.95,705,10,116.8875,alpaca,iex,raw,2026-05-13 13:12:39.393491+00:00
GOOGL,1Min,2023-05-15 15:09:00+00:00,117.0,117.0,117.0,117.0,103,3,117.0,alpaca,iex,raw,2026-05-13 13:12:39.393521+00:00
GOOGL,1Min,2023-05-15 15:10:00+00:00,117.075,117.08,117.035,117.055,1942,18,117.057368,alpaca,iex,raw,2026-05-13 13:12:39.393548+00:00
GOOGL,1Min,2023-05-15 15:11:00+00:00,117.055,117.105,117.045,117.085,1174,16,117.0665,alpaca,iex,raw,2026-05-13 13:12:39.393576+00:00
GOOGL,1Min,2023-05-15 15:12:00+00:00,117.115,117.195,117.115,117.195,704,11,117.15375,alpaca,iex,raw,2026-05-13 13:12:39.393604+00:00
GOOGL,1Min,2023-05-15 15:13:00+00:00,117.19,117.205,117.19,117.205,323,8,117.2,alpaca,iex,raw,2026-05-13 13:12:39.393631+00:00
GOOGL,1Min,2023-05-15 15:14:00+00:00,117.205,117.24,117.205,117.24,759,14,117.23,alpaca,iex,raw,2026-05-13 13:12:39.393659+00:00
GOOGL,1Min,2023-05-15 15:15:00+00:00,117.295,117.44,117.295,117.38,3660,37,117.399972,alpaca,iex,raw,2026-05-13 13:12:39.393687+00:00
GOOGL,1Min,2023-05-15 15:16:00+00:00,117.415,117.44,117.385,117.405,2003,17,117.41125,alpaca,iex,raw,2026-05-13 13:12:39.393715+00:00
GOOGL,1Min,2023-05-15 15:17:00+00:00,117.445,117.47,117.38,117.38,1446,16,117.412692,alpaca,iex,raw,2026-05-13 13:12:39.393742+00:00
GOOGL,1Min,2023-05-15 15:18:00+00:00,117.44,117.48,117.42,117.42,1429,17,117.452692,alpaca,iex,raw,2026-05-13 13:12:39.393783+00:00
GOOGL,1Min,2023-05-15 15:19:00+00:00,117.43,117.43,117.41,117.43,1029,14,117.425556,alpaca,iex,raw,2026-05-13 13:12:39.393836+00:00
