symbol,timeframe,timestamp,open,high,low,close,volume,trade_count,vwap,source,feed,adjustment,downloaded_at
IWM,1Day,2023-05-15 04:00:00+00:00,173.29,175.705,172.89,174.89,538190,4638,174.473051,alpaca,iex,raw,2026-05-13 13:20:14.111296+00:00
IWM,1Day,2023-05-16 04:00:00+00:00,173.61,173.71,172.23,172.25,580216,4836,172.82025,alpaca,iex,raw,2026-05-13 13:20:14.111313+00:00
IWM,1Day,2023-05-17 04:00:00+00:00,173.39,176.495,172.19,176.22,981731,7323,175.313315,alpaca,iex,raw,2026-05-13 13:20:14.111321+00:00
IWM,1Day,2023-05-18 04:00:00+00:00,175.55,177.55,175.035,177.22,510860,5107,176.332792,alpaca,iex,raw,2026-05-13 13:20:14.111328+00:00
IWM,1Day,2023-05-19 04:00:00+00:00,178.55,178.6,175.25,176.09,509130,4361,176.370644,alpaca,iex,raw,2026-05-13 13:20:14.111335+00:00
IWM,1Day,2023-05-22 04:00:00+00:00,176.64,179.015,176.045,178.23,564993,4783,178.024371,alpaca,iex,raw,2026-05-13 13:20:14.111342+00:00
IWM,1Day,2023-05-23 04:00:00+00:00,177.91,180.51,177.415,177.46,639762,5836,178.775351,alpaca,iex,raw,2026-05-13 13:20:14.111349+00:00
IWM,1Day,2023-05-24 04:00:00+00:00,176.59,176.67,174.67,175.53,671245,5341,175.556655,alpaca,iex,raw,2026-05-13 13:20:14.111355+00:00
IWM,1Day,2023-05-25 04:00:00+00:00,175.3,175.49,172.715,174.23,869629,6217,173.895448,alpaca,iex,raw,2026-05-13 13:20:14.111362+00:00
IWM,1Day,2023-05-26 04:00:00+00:00,174.4,176.37,174.13,176.1,763558,5931,175.587008,alpaca,iex,raw,2026-05-13 13:20:14.111369+00:00
IWM,1Day,2023-05-30 04:00:00+00:00,176.74,177.545,174.78,175.54,531010,5171,175.642454,alpaca,iex,raw,2026-05-13 13:20:14.111376+00:00
IWM,1Day,2023-05-31 04:00:00+00:00,174.64,175.95,172.37,173.64,748219,5904,173.528466,alpaca,iex,raw,2026-05-13 13:20:14.111382+00:00
IWM,1Day,2023-06-01 04:00:00+00:00,173.77,176.235,172.935,175.65,483092,4388,175.170475,alpaca,iex,raw,2026-05-13 13:20:14.111389+00:00
IWM,1Day,2023-06-02 04:00:00+00:00,178.01,182.09,177.45,181.96,994368,7905,180.704862,alpaca,iex,raw,2026-05-13 13:20:14.111395+00:00
IWM,1Day,2023-06-05 04:00:00+00:00,181.34,181.37,178.47,179.54,656671,4952,179.697573,alpaca,iex,raw,2026-05-13 13:20:14.111402+00:00
IWM,1Day,2023-06-06 04:00:00+00:00,178.99,184.94,178.99,184.31,957085,7208,183.550017,alpaca,iex,raw,2026-05-13 13:20:14.111408+00:00
IWM,1Day,2023-06-07 04:00:00+00:00,185.02,187.755,184.99,187.23,1162691,9334,186.935873,alpaca,iex,raw,2026-05-13 13:20:14.111415+00:00
