symbol,timeframe,timestamp,open,high,low,close,volume,trade_count,vwap,source,feed,adjustment,downloaded_at
IWM,1Min,2023-05-15 13:30:00+00:00,173.29,173.45,173.24,173.24,6261,63,173.340428,alpaca,iex,raw,2026-05-13 13:17:52.725706+00:00
IWM,1Min,2023-05-15 13:31:00+00:00,173.18,173.18,172.93,172.95,2157,24,173.059073,alpaca,iex,raw,2026-05-13 13:17:52.725723+00:00
IWM,1Min,2023-05-15 13:32:00+00:00,172.97,172.995,172.91,172.91,1008,29,172.945833,alpaca,iex,raw,2026-05-13 13:17:52.725731+00:00
IWM,1Min,2023-05-15 13:33:00+00:00,172.99,173.02,172.89,173.01,1667,25,172.962692,alpaca,iex,raw,2026-05-13 13:17:52.725738+00:00
IWM,1Min,2023-05-15 13:34:00+00:00,172.99,173.075,172.92,172.92,22188,72,173.037332,alpaca,iex,raw,2026-05-13 13:17:52.725745+00:00
IWM,1Min,2023-05-15 13:35:00+00:00,173.01,173.11,173.01,173.11,1816,20,173.06,alpaca,iex,raw,2026-05-13 13:17:52.725752+00:00
IWM,1Min,2023-05-15 13:36:00+00:00,173.18,173.21,173.13,173.21,2691,9,173.189434,alpaca,iex,raw,2026-05-13 13:17:52.725759+00:00
IWM,1Min,2023-05-15 13:37:00+00:00,173.28,173.28,173.18,173.21,1884,14,173.226111,alpaca,iex,raw,2026-05-13 13:17:52.725766+00:00
IWM,1Min,2023-05-15 13:38:00+00:00,173.26,173.37,173.26,173.31,1402,14,173.329167,alpaca,iex,raw,2026-05-13 13:17:52.725772+00:00
IWM,1Min,2023-05-15 13:39:00+00:00,173.32,173.44,173.32,173.41,1058,17,173.391875,alpaca,iex,raw,2026-05-13 13:17:52.725779+00:00
IWM,1Min,2023-05-15 13:40:00+00:00,173.45,173.6,173.45,173.6,1644,19,173.53375,alpaca,iex,raw,2026-05-13 13:17:52.725786+00:00
IWM,1Min,2023-05-15 13:41:00+00:00,173.665,173.69,173.51,173.51,2400,24,173.63412,alpaca,iex,raw,2026-05-13 13:17:52.725793+00:00
IWM,1Min,2023-05-15 13:42:00+00:00,173.49,173.61,173.49,173.55,1074,11,173.576327,alpaca,iex,raw,2026-05-13 13:17:52.725800+00:00
IWM,1Min,2023-05-15 13:43:00+00:00,173.56,173.56,173.43,173.53,1555,14,173.471618,alpaca,iex,raw,2026-05-13 13:17:52.725807+00:00
IWM,1Min,2023-05-15 13:44:00+00:00,173.45,173.52,173.45,173.52,1098,21,173.493571,alpaca,iex,raw,2026-05-13 13:17:52.725814+00:00
IWM,1Min,2023-05-15 13:45:00+00:00,173.54,173.555,173.48,173.54,1904,20,173.53625,alpaca,iex,raw,2026-05-13 13:17:52.725820+00:00
IWM,1Min,2023-05-15 13:46:00+00:00,173.54,173.58,173.46,173.46,1013,11,173.538889,alpaca,iex,raw,2026-05-13 13:17:52.725827+00:00
IWM,1Min,2023-05-15 13:47:00+00:00,173.43,173.51,173.43,173.51,591,6,173.471707,alpaca,iex,raw,2026-05-13 13:17:52.725834+00:00
IWM,1Min,2023-05-15 13:48:00+00:00,173.49,173.52,173.4,173.44,1856,12,173.447532,alpaca,iex,raw,2026-05-13 13:17:52.725840+00:00
IWM,1Min,2023-05-15 13:49:00+00:00,173.45,173.58,173.45,173.56,2932,8,173.568302,alpaca,iex,raw,2026-05-13 13:17:52.725847+00:00
IWM,1Min,2023-05-15 13:50:00+00:00,173.615,173.615,173.53,173.54,9696,19,173.558065,alpaca,iex,raw,2026-05-13 13:17:52.725854+00:00
IWM,1Min,2023-05-15 13:51:00+00:00,173.495,173.6,173.495,173.58,6571,31,173.539918,alpaca,iex,raw,2026-05-13 13:17:52.725861+00:00
IWM,1Min,2023-05-15 13:52:00+00:00,173.61,173.68,173.61,173.635,952,14,173.656667,alpaca,iex,raw,2026-05-13 13:17:52.725867+00:00
IWM,1Min,2023-05-15 13:53:00+00:00,173.635,173.77,173.635,173.77,1920,16,173.737351,alpaca,iex,raw,2026-05-13 13:17:52.725874+00:00
IWM,1Min,2023-05-15 13:54:00+00:00,173.71,173.74,173.67,173.67,1007,10,173.7225,alpaca,iex,raw,2026-05-13 13:17:52.725881+00:00
IWM,1Min,2023-05-15 13:55:00+00:00,173.795,173.805,173.78,173.805,511,10,173.795,alpaca,iex,raw,2026-05-13 13:17:52.725887+00:00
IWM,1Min,2023-05-15 13:56:00+00:00,173.72,173.72,173.72,173.72,434,11,173.72,alpaca,iex,raw,2026-05-13 13:17:52.725894+00:00
