symbol,timeframe,timestamp,open,high,low,close,volume,trade_count,vwap,source,feed,adjustment,downloaded_at
META,5Min,2023-05-15 13:30:00+00:00,236.89,237.79,236.55,236.78,21128,263,237.096107,alpaca,iex,raw,2026-05-13 13:14:54.906883+00:00
META,5Min,2023-05-15 13:35:00+00:00,236.84,237.41,236.48,236.53,4658,77,236.721283,alpaca,iex,raw,2026-05-13 13:14:54.906899+00:00
META,5Min,2023-05-15 13:40:00+00:00,236.565,237.4,236.565,236.76,3884,49,237.166581,alpaca,iex,raw,2026-05-13 13:14:54.906907+00:00
META,5Min,2023-05-15 13:45:00+00:00,237.23,237.33,236.72,236.93,2576,49,236.954737,alpaca,iex,raw,2026-05-13 13:14:54.906914+00:00
META,5Min,2023-05-15 13:50:00+00:00,236.945,236.945,236.04,236.04,2973,71,236.437569,alpaca,iex,raw,2026-05-13 13:14:54.906921+00:00
META,5Min,2023-05-15 13:55:00+00:00,235.98,235.98,235.39,235.53,2950,92,235.689667,alpaca,iex,raw,2026-05-13 13:14:54.906927+00:00
META,5Min,2023-05-15 14:00:00+00:00,235.63,236.435,235.62,236.435,2751,75,236.00925,alpaca,iex,raw,2026-05-13 13:14:54.906934+00:00
META,5Min,2023-05-15 14:05:00+00:00,236.45,236.45,235.62,235.705,4121,62,235.930789,alpaca,iex,raw,2026-05-13 13:14:54.906941+00:00
META,5Min,2023-05-15 14:10:00+00:00,235.89,236.055,235.48,235.62,2120,51,235.772791,alpaca,iex,raw,2026-05-13 13:14:54.906947+00:00
META,5Min,2023-05-15 14:15:00+00:00,235.62,236.19,235.62,235.97,3310,47,235.998535,alpaca,iex,raw,2026-05-13 13:14:54.906961+00:00
META,5Min,2023-05-15 14:20:00+00:00,235.925,236.19,235.91,236.19,1196,21,235.994445,alpaca,iex,raw,2026-05-13 13:14:54.906967+00:00
META,5Min,2023-05-15 14:25:00+00:00,236.425,236.595,236.285,236.53,3618,63,236.375113,alpaca,iex,raw,2026-05-13 13:14:54.906974+00:00
META,5Min,2023-05-15 14:30:00+00:00,236.7,236.82,236.22,236.82,3136,43,236.407116,alpaca,iex,raw,2026-05-13 13:14:54.906981+00:00
META,5Min,2023-05-15 14:35:00+00:00,237.0,237.26,236.89,237.12,2644,52,237.08421,alpaca,iex,raw,2026-05-13 13:14:54.906987+00:00
META,5Min,2023-05-15 14:40:00+00:00,237.06,237.4,237.05,237.4,2285,41,237.236765,alpaca,iex,raw,2026-05-13 13:14:54.906994+00:00
META,5Min,2023-05-15 14:45:00+00:00,237.315,237.65,237.19,237.59,5877,76,237.49631,alpaca,iex,raw,2026-05-13 13:14:54.907001+00:00
META,5Min,2023-05-15 14:50:00+00:00,237.61,237.92,237.42,237.92,4054,58,237.62549,alpaca,iex,raw,2026-05-13 13:14:54.907007+00:00
META,5Min,2023-05-15 14:55:00+00:00,238.1,238.13,237.285,237.365,6614,77,237.640971,alpaca,iex,raw,2026-05-13 13:14:54.907014+00:00
META,5Min,2023-05-15 15:00:00+00:00,237.145,237.6,237.145,237.18,3815,66,237.382811,alpaca,iex,raw,2026-05-13 13:14:54.907020+00:00
META,5Min,2023-05-15 15:05:00+00:00,237.03,237.51,237.03,237.27,1220,22,237.283333,alpaca,iex,raw,2026-05-13 13:14:54.907026+00:00
META,5Min,2023-05-15 15:10:00+00:00,237.53,237.9,237.53,237.9,1341,26,237.729091,alpaca,iex,raw,2026-05-13 13:14:54.907033+00:00
META,5Min,2023-05-15 15:15:00+00:00,237.91,238.1,237.89,238.02,1586,31,238.00375,alpaca,iex,raw,2026-05-13 13:14:54.907039+00:00
META,5Min,2023-05-15 15:20:00+00:00,238.09,238.19,238.09,238.17,2080,41,238.160667,alpaca,iex,raw,2026-05-13 13:14:54.907046+00:00
