symbol,timeframe,timestamp,open,high,low,close,volume,trade_count,vwap,source,feed,adjustment,downloaded_at
MSFT,1Day,2023-05-15 04:00:00+00:00,309.02,309.86,307.625,309.51,234575,4240,308.904982,alpaca,iex,raw,2026-05-13 13:02:21.875909+00:00
MSFT,1Day,2023-05-16 04:00:00+00:00,309.91,313.675,309.89,311.745,451351,7294,312.632646,alpaca,iex,raw,2026-05-13 13:02:21.875935+00:00
MSFT,1Day,2023-05-17 04:00:00+00:00,312.225,314.4,310.775,313.97,370375,6885,312.831225,alpaca,iex,raw,2026-05-13 13:02:21.875977+00:00
MSFT,1Day,2023-05-18 04:00:00+00:00,314.59,319.04,313.76,318.55,440044,8421,316.857513,alpaca,iex,raw,2026-05-13 13:02:21.875993+00:00
MSFT,1Day,2023-05-19 04:00:00+00:00,317.25,318.74,316.4,318.31,316371,6112,317.79454,alpaca,iex,raw,2026-05-13 13:02:21.876005+00:00
MSFT,1Day,2023-05-22 04:00:00+00:00,318.41,322.525,318.07,321.235,456046,6442,320.785539,alpaca,iex,raw,2026-05-13 13:02:21.876017+00:00
MSFT,1Day,2023-05-23 04:00:00+00:00,320.09,322.72,315.26,315.38,670806,10477,318.157484,alpaca,iex,raw,2026-05-13 13:02:21.876029+00:00
MSFT,1Day,2023-05-24 04:00:00+00:00,314.73,316.4,312.67,313.92,453670,6567,313.998322,alpaca,iex,raw,2026-05-13 13:02:21.876040+00:00
MSFT,1Day,2023-05-25 04:00:00+00:00,323.085,326.89,320.04,325.91,1290717,15351,323.837336,alpaca,iex,raw,2026-05-13 13:02:21.876052+00:00
MSFT,1Day,2023-05-26 04:00:00+00:00,323.96,333.36,323.94,332.85,613271,14025,330.061217,alpaca,iex,raw,2026-05-13 13:02:21.876063+00:00
MSFT,1Day,2023-05-30 04:00:00+00:00,335.11,335.715,330.58,331.22,768107,10511,332.627998,alpaca,iex,raw,2026-05-13 13:02:21.876074+00:00
MSFT,1Day,2023-05-31 04:00:00+00:00,332.27,335.92,327.53,328.69,657722,9187,330.747246,alpaca,iex,raw,2026-05-13 13:02:21.876086+00:00
MSFT,1Day,2023-06-01 04:00:00+00:00,326.355,333.47,324.805,332.59,387762,7592,329.437272,alpaca,iex,raw,2026-05-13 13:02:21.876098+00:00
MSFT,1Day,2023-06-02 04:00:00+00:00,334.27,337.47,332.59,335.295,428753,7262,334.875128,alpaca,iex,raw,2026-05-13 13:02:21.876109+00:00
MSFT,1Day,2023-06-05 04:00:00+00:00,335.29,338.525,334.675,335.975,422507,6876,336.618509,alpaca,iex,raw,2026-05-13 13:02:21.876120+00:00
MSFT,1Day,2023-06-06 04:00:00+00:00,335.33,335.33,332.18,333.67,930102,9376,333.82593,alpaca,iex,raw,2026-05-13 13:02:21.876131+00:00
MSFT,1Day,2023-06-07 04:00:00+00:00,331.59,334.22,322.52,323.46,714894,12756,326.409523,alpaca,iex,raw,2026-05-13 13:02:21.876142+00:00
MSFT,1Day,2023-06-08 04:00:00+00:00,324.05,326.58,323.37,325.19,337656,9553,325.008869,alpaca,iex,raw,2026-05-13 13:02:21.876153+00:00
MSFT,1Day,2023-06-09 04:00:00+00:00,325.17,329.895,324.465,326.86,479581,7360,327.415091,alpaca,iex,raw,2026-05-13 13:02:21.876165+00:00
MSFT,1Day,2023-06-12 04:00:00+00:00,328.665,332.06,325.16,331.895,571750,6572,329.286595,alpaca,iex,raw,2026-05-13 13:02:21.876176+00:00
MSFT,1Day,2023-06-13 04:00:00+00:00,334.39,336.96,330.41,334.27,459555,7407,333.468255,alpaca,iex,raw,2026-05-13 13:02:21.876187+00:00
MSFT,1Day,2023-06-14 04:00:00+00:00,334.585,338.99,333.0,337.28,500689,8950,336.109516,alpaca,iex,raw,2026-05-13 13:02:21.876198+00:00
