symbol,timeframe,timestamp,open,high,low,close,volume,trade_count,vwap,source,feed,adjustment,downloaded_at
MSFT,1Min,2023-05-15 13:30:00+00:00,309.02,309.06,308.105,308.175,6005,130,308.704575,alpaca,iex,raw,2026-05-13 13:01:21.413367+00:00
MSFT,1Min,2023-05-15 13:31:00+00:00,308.195,308.235,307.9,308.05,2434,41,308.122341,alpaca,iex,raw,2026-05-13 13:01:21.413421+00:00
MSFT,1Min,2023-05-15 13:32:00+00:00,308.12,308.245,308.12,308.235,696,28,308.21,alpaca,iex,raw,2026-05-13 13:01:21.413452+00:00
MSFT,1Min,2023-05-15 13:33:00+00:00,308.28,308.28,308.125,308.125,872,30,308.236518,alpaca,iex,raw,2026-05-13 13:01:21.413478+00:00
MSFT,1Min,2023-05-15 13:34:00+00:00,308.18,308.18,307.92,307.92,670,18,307.964167,alpaca,iex,raw,2026-05-13 13:01:21.413503+00:00
MSFT,1Min,2023-05-15 13:35:00+00:00,307.71,308.08,307.66,308.075,2542,44,307.764067,alpaca,iex,raw,2026-05-13 13:01:21.413528+00:00
MSFT,1Min,2023-05-15 13:36:00+00:00,308.34,308.97,308.34,308.83,1016,27,308.781667,alpaca,iex,raw,2026-05-13 13:01:21.413553+00:00
MSFT,1Min,2023-05-15 13:37:00+00:00,308.84,308.84,308.515,308.58,2102,24,308.67725,alpaca,iex,raw,2026-05-13 13:01:21.413577+00:00
MSFT,1Min,2023-05-15 13:38:00+00:00,308.6,308.6,308.46,308.46,714,10,308.507143,alpaca,iex,raw,2026-05-13 13:01:21.413601+00:00
MSFT,1Min,2023-05-15 13:39:00+00:00,307.9,307.9,307.8,307.835,694,14,307.85,alpaca,iex,raw,2026-05-13 13:01:21.413626+00:00
MSFT,1Min,2023-05-15 13:40:00+00:00,308.1,308.175,308.1,308.17,542,7,308.129,alpaca,iex,raw,2026-05-13 13:01:21.413651+00:00
MSFT,1Min,2023-05-15 13:41:00+00:00,308.17,308.28,308.0,308.28,652,13,308.124167,alpaca,iex,raw,2026-05-13 13:01:21.413676+00:00
MSFT,1Min,2023-05-15 13:42:00+00:00,308.52,308.7,308.52,308.56,1703,25,308.618846,alpaca,iex,raw,2026-05-13 13:01:21.413700+00:00
MSFT,1Min,2023-05-15 13:43:00+00:00,308.66,308.93,308.54,308.93,2031,24,308.7425,alpaca,iex,raw,2026-05-13 13:01:21.413725+00:00
MSFT,1Min,2023-05-15 13:44:00+00:00,309.03,309.25,308.54,308.96,3582,72,308.933409,alpaca,iex,raw,2026-05-13 13:01:21.413749+00:00
MSFT,1Min,2023-05-15 13:45:00+00:00,309.07,309.52,309.07,309.43,904,11,309.324715,alpaca,iex,raw,2026-05-13 13:01:21.413773+00:00
MSFT,1Min,2023-05-15 13:46:00+00:00,309.56,309.56,309.315,309.315,481,9,309.44875,alpaca,iex,raw,2026-05-13 13:01:21.413797+00:00
MSFT,1Min,2023-05-15 13:47:00+00:00,309.21,309.21,309.07,309.07,566,10,309.1525,alpaca,iex,raw,2026-05-13 13:01:21.413822+00:00
MSFT,1Min,2023-05-15 13:48:00+00:00,308.835,309.01,308.835,309.01,704,9,308.958,alpaca,iex,raw,2026-05-13 13:01:21.413846+00:00
MSFT,1Min,2023-05-15 13:49:00+00:00,308.89,308.98,308.86,308.94,2611,14,308.948462,alpaca,iex,raw,2026-05-13 13:01:21.413870+00:00
MSFT,1Min,2023-05-15 13:50:00+00:00,308.76,308.76,308.57,308.57,318,12,308.665,alpaca,iex,raw,2026-05-13 13:01:21.413894+00:00
MSFT,1Min,2023-05-15 13:51:00+00:00,308.57,308.575,308.57,308.575,525,15,308.571667,alpaca,iex,raw,2026-05-13 13:01:21.413918+00:00
MSFT,1Min,2023-05-15 13:52:00+00:00,308.54,308.54,308.32,308.32,538,15,308.44,alpaca,iex,raw,2026-05-13 13:01:21.413942+00:00
MSFT,1Min,2023-05-15 13:53:00+00:00,308.3,308.32,308.26,308.32,1257,19,308.277,alpaca,iex,raw,2026-05-13 13:01:21.413986+00:00
MSFT,1Min,2023-05-15 13:54:00+00:00,308.385,308.59,308.385,308.59,1068,15,308.491667,alpaca,iex,raw,2026-05-13 13:01:21.414011+00:00
MSFT,1Min,2023-05-15 13:55:00+00:00,308.64,308.865,308.64,308.78,669,16,308.735,alpaca,iex,raw,2026-05-13 13:01:21.414036+00:00
MSFT,1Min,2023-05-15 13:56:00+00:00,309.14,309.14,309.07,309.07,827,21,309.108,alpaca,iex,raw,2026-05-13 13:01:21.414060+00:00
MSFT,1Min,2023-05-15 13:57:00+00:00,308.985,308.985,308.69,308.69,2563,11,308.9628,alpaca,iex,raw,2026-05-13 13:01:21.414084+00:00
MSFT,1Min,2023-05-15 13:58:00+00:00,308.65,308.78,308.65,308.78,786,13,308.673411,alpaca,iex,raw,2026-05-13 13:01:21.414108+00:00
MSFT,1Min,2023-05-15 13:59:00+00:00,308.88,308.89,308.84,308.89,397,6,308.87,alpaca,iex,raw,2026-05-13 13:01:21.414132+00:00
MSFT,1Min,2023-05-15 14:00:00+00:00,308.785,308.81,308.685,308.73,718,18,308.756,alpaca,iex,raw,2026-05-13 13:01:21.414156+00:00
MSFT,1Min,2023-05-15 14:01:00+00:00,308.67,308.67,308.65,308.65,315,13,308.66,alpaca,iex,raw,2026-05-13 13:01:21.414180+00:00
MSFT,1Min,2023-05-15 14:02:00+00:00,309.035,309.065,309.0,309.01,3687,38,309.023405,alpaca,iex,raw,2026-05-13 13:01:21.414204+00:00
MSFT,1Min,2023-05-15 14:03:00+00:00,309.06,309.06,309.06,309.06,431,6,309.06,alpaca,iex,raw,2026-05-13 13:01:21.414229+00:00
MSFT,1Min,2023-05-15 14:04:00+00:00,309.125,309.315,309.125,309.31,576,8,309.255,alpaca,iex,raw,2026-05-13 13:01:21.414253+00:00
MSFT,1Min,2023-05-15 14:05:00+00:00,309.325,309.36,309.325,309.36,350,20,309.3425,alpaca,iex,raw,2026-05-13 13:01:21.414277+00:00
MSFT,1Min,2023-05-15 14:06:00+00:00,308.955,308.955,308.675,308.675,760,14,308.809093,alpaca,iex,raw,2026-05-13 13:01:21.414301+00:00
MSFT,1Min,2023-05-15 14:07:00+00:00,308.54,308.725,308.54,308.725,602,10,308.663333,alpaca,iex,raw,2026-05-13 13:01:21.414325+00:00
MSFT,1Min,2023-05-15 14:08:00+00:00,308.42,308.42,308.32,308.36,861,17,308.36,alpaca,iex,raw,2026-05-13 13:01:21.414349+00:00
MSFT,1Min,2023-05-15 14:09:00+00:00,308.4,308.435,308.13,308.15,3224,36,308.19972,alpaca,iex,raw,2026-05-13 13:01:21.414373+00:00
MSFT,1Min,2023-05-15 14:10:00+00:00,308.15,308.15,308.06,308.06,1769,22,308.114637,alpaca,iex,raw,2026-05-13 13:01:21.414398+00:00
MSFT,1Min,2023-05-15 14:11:00+00:00,308.0,308.0,307.98,308.0,1685,23,307.998333,alpaca,iex,raw,2026-05-13 13:01:21.414422+00:00
MSFT,1Min,2023-05-15 14:12:00+00:00,308.075,308.075,307.935,308.02,3124,20,308.009304,alpaca,iex,raw,2026-05-13 13:01:21.414446+00:00
MSFT,1Min,2023-05-15 14:13:00+00:00,308.055,308.14,307.965,308.14,3719,43,307.99479,alpaca,iex,raw,2026-05-13 13:01:21.414470+00:00
MSFT,1Min,2023-05-15 14:14:00+00:00,308.22,308.22,308.2,308.21,2072,23,308.210415,alpaca,iex,raw,2026-05-13 13:01:21.414495+00:00
MSFT,1Min,2023-05-15 14:15:00+00:00,308.12,308.12,307.98,308.08,2242,33,308.05973,alpaca,iex,raw,2026-05-13 13:01:21.414519+00:00
MSFT,1Min,2023-05-15 14:16:00+00:00,308.025,308.025,307.94,307.94,641,7,307.970843,alpaca,iex,raw,2026-05-13 13:01:21.414543+00:00
MSFT,1Min,2023-05-15 14:17:00+00:00,307.99,307.99,307.985,307.985,234,4,307.9875,alpaca,iex,raw,2026-05-13 13:01:21.414568+00:00
MSFT,1Min,2023-05-15 14:18:00+00:00,307.99,308.36,307.99,308.36,890,17,308.173571,alpaca,iex,raw,2026-05-13 13:01:21.414593+00:00
MSFT,1Min,2023-05-15 14:19:00+00:00,308.23,308.46,308.23,308.46,629,12,308.276,alpaca,iex,raw,2026-05-13 13:01:21.414617+00:00
MSFT,1Min,2023-05-15 14:20:00+00:00,308.385,308.385,308.325,308.325,211,6,308.355,alpaca,iex,raw,2026-05-13 13:01:21.414641+00:00
MSFT,1Min,2023-05-15 14:21:00+00:00,308.25,308.25,308.25,308.25,145,8,308.25,alpaca,iex,raw,2026-05-13 13:01:21.414666+00:00
MSFT,1Min,2023-05-15 14:22:00+00:00,308.32,308.43,308.32,308.43,385,9,308.375,alpaca,iex,raw,2026-05-13 13:01:21.414691+00:00
MSFT,1Min,2023-05-15 14:23:00+00:00,308.55,308.55,308.5,308.5,252,4,308.525,alpaca,iex,raw,2026-05-13 13:01:21.414716+00:00
MSFT,1Min,2023-05-15 14:24:00+00:00,308.465,308.465,308.385,308.385,201,3,308.425,alpaca,iex,raw,2026-05-13 13:01:21.414740+00:00
MSFT,1Min,2023-05-15 14:25:00+00:00,308.295,308.295,308.295,308.295,196,7,308.295,alpaca,iex,raw,2026-05-13 13:01:21.414764+00:00
MSFT,1Min,2023-05-15 14:26:00+00:00,308.32,308.34,308.32,308.33,339,9,308.33,alpaca,iex,raw,2026-05-13 13:01:21.414804+00:00
MSFT,1Min,2023-05-15 14:27:00+00:00,308.3,308.3,308.07,308.125,829,9,308.165,alpaca,iex,raw,2026-05-13 13:01:21.414826+00:00
MSFT,1Min,2023-05-15 14:28:00+00:00,308.065,308.09,308.03,308.09,1138,30,308.065,alpaca,iex,raw,2026-05-13 13:01:21.414847+00:00
MSFT,1Min,2023-05-15 14:29:00+00:00,307.98,308.015,307.655,307.655,3624,35,307.783173,alpaca,iex,raw,2026-05-13 13:01:21.414869+00:00
MSFT,1Min,2023-05-15 14:30:00+00:00,307.625,307.935,307.625,307.935,1078,23,307.733305,alpaca,iex,raw,2026-05-13 13:01:21.414891+00:00
MSFT,1Min,2023-05-15 14:31:00+00:00,308.34,308.34,308.01,308.01,506,15,308.128333,alpaca,iex,raw,2026-05-13 13:01:21.414912+00:00
MSFT,1Min,2023-05-15 14:32:00+00:00,307.97,308.0,307.97,307.985,325,7,307.985,alpaca,iex,raw,2026-05-13 13:01:21.414934+00:00
MSFT,1Min,2023-05-15 14:35:00+00:00,308.82,309.085,308.82,308.975,1695,20,309.003154,alpaca,iex,raw,2026-05-13 13:01:21.414968+00:00
MSFT,1Min,2023-05-15 14:36:00+00:00,308.99,309.12,308.99,309.12,273,11,309.055,alpaca,iex,raw,2026-05-13 13:01:21.414992+00:00
MSFT,1Min,2023-05-15 14:37:00+00:00,309.28,309.355,309.17,309.325,1701,17,309.306208,alpaca,iex,raw,2026-05-13 13:01:21.415015+00:00
MSFT,1Min,2023-05-15 14:38:00+00:00,309.355,309.48,309.255,309.265,1454,21,309.353287,alpaca,iex,raw,2026-05-13 13:01:21.415037+00:00
MSFT,1Min,2023-05-15 14:39:00+00:00,309.24,309.24,309.14,309.14,1295,10,309.184781,alpaca,iex,raw,2026-05-13 13:01:21.415058+00:00
MSFT,1Min,2023-05-15 14:40:00+00:00,309.165,309.165,309.1,309.11,1132,15,309.141839,alpaca,iex,raw,2026-05-13 13:01:21.415080+00:00
MSFT,1Min,2023-05-15 14:41:00+00:00,309.31,309.31,309.2,309.2,233,3,309.255,alpaca,iex,raw,2026-05-13 13:01:21.415102+00:00
MSFT,1Min,2023-05-15 14:42:00+00:00,309.2,309.2,309.2,309.2,433,3,309.2,alpaca,iex,raw,2026-05-13 13:01:21.415124+00:00
MSFT,1Min,2023-05-15 14:43:00+00:00,309.38,309.38,309.32,309.32,304,10,309.35,alpaca,iex,raw,2026-05-13 13:01:21.415145+00:00
MSFT,1Min,2023-05-15 14:44:00+00:00,309.33,309.33,309.33,309.33,101,2,309.33,alpaca,iex,raw,2026-05-13 13:01:21.415167+00:00
MSFT,1Min,2023-05-15 14:46:00+00:00,309.32,309.48,309.32,309.48,302,5,309.426667,alpaca,iex,raw,2026-05-13 13:01:21.415189+00:00
MSFT,1Min,2023-05-15 14:47:00+00:00,309.64,309.68,309.64,309.68,293,6,309.66,alpaca,iex,raw,2026-05-13 13:01:21.415211+00:00
MSFT,1Min,2023-05-15 14:48:00+00:00,309.83,309.83,309.83,309.83,455,9,309.83,alpaca,iex,raw,2026-05-13 13:01:21.415233+00:00
MSFT,1Min,2023-05-15 14:49:00+00:00,309.82,309.82,309.725,309.725,331,5,309.781667,alpaca,iex,raw,2026-05-13 13:01:21.415255+00:00
MSFT,1Min,2023-05-15 14:50:00+00:00,309.53,309.53,309.53,309.53,314,7,309.53,alpaca,iex,raw,2026-05-13 13:01:21.415279+00:00
MSFT,1Min,2023-05-15 14:51:00+00:00,309.69,309.69,309.69,309.69,122,4,309.69,alpaca,iex,raw,2026-05-13 13:01:21.415301+00:00
MSFT,1Min,2023-05-15 14:52:00+00:00,309.77,309.77,309.77,309.77,103,2,309.77,alpaca,iex,raw,2026-05-13 13:01:21.415323+00:00
MSFT,1Min,2023-05-15 14:54:00+00:00,309.64,309.64,309.6,309.6,383,8,309.62,alpaca,iex,raw,2026-05-13 13:01:21.415345+00:00
MSFT,1Min,2023-05-15 14:55:00+00:00,309.6,309.6,309.6,309.6,142,2,309.6,alpaca,iex,raw,2026-05-13 13:01:21.415367+00:00
MSFT,1Min,2023-05-15 14:56:00+00:00,309.31,309.31,309.31,309.31,114,5,309.31,alpaca,iex,raw,2026-05-13 13:01:21.415389+00:00
MSFT,1Min,2023-05-15 14:57:00+00:00,309.35,309.35,309.16,309.16,549,12,309.236667,alpaca,iex,raw,2026-05-13 13:01:21.415410+00:00
MSFT,1Min,2023-05-15 14:58:00+00:00,309.32,309.32,309.305,309.305,328,9,309.3125,alpaca,iex,raw,2026-05-13 13:01:21.415432+00:00
MSFT,1Min,2023-05-15 14:59:00+00:00,309.27,309.27,309.27,309.27,150,5,309.27,alpaca,iex,raw,2026-05-13 13:01:21.415454+00:00
MSFT,1Min,2023-05-15 15:00:00+00:00,309.185,309.27,309.14,309.27,682,13,309.207763,alpaca,iex,raw,2026-05-13 13:01:21.415476+00:00
MSFT,1Min,2023-05-15 15:01:00+00:00,309.66,309.66,309.54,309.54,549,10,309.57875,alpaca,iex,raw,2026-05-13 13:01:21.415498+00:00
MSFT,1Min,2023-05-15 15:03:00+00:00,309.48,309.48,309.48,309.48,222,4,309.48,alpaca,iex,raw,2026-05-13 13:01:21.415520+00:00
MSFT,1Min,2023-05-15 15:04:00+00:00,309.105,309.11,309.105,309.11,368,6,309.108333,alpaca,iex,raw,2026-05-13 13:01:21.415542+00:00
MSFT,1Min,2023-05-15 15:05:00+00:00,309.1,309.1,309.04,309.04,231,8,309.07,alpaca,iex,raw,2026-05-13 13:01:21.415564+00:00
MSFT,1Min,2023-05-15 15:06:00+00:00,309.11,309.11,308.95,309.065,1966,23,309.043234,alpaca,iex,raw,2026-05-13 13:01:21.415586+00:00
