symbol,timeframe,timestamp,open,high,low,close,volume,trade_count,vwap,source,feed,adjustment,downloaded_at
NVDA,1Day,2023-05-15 04:00:00+00:00,285.07,289.65,281.63,289.56,335578,5843,286.561523,alpaca,iex,raw,2026-05-13 13:11:00.855869+00:00
NVDA,1Day,2023-05-16 04:00:00+00:00,288.47,298.7,288.47,292.08,666197,10962,294.84921,alpaca,iex,raw,2026-05-13 13:11:00.855890+00:00
NVDA,1Day,2023-05-17 04:00:00+00:00,295.83,301.99,294.49,301.83,539831,9335,298.53448,alpaca,iex,raw,2026-05-13 13:11:00.855901+00:00
NVDA,1Day,2023-05-18 04:00:00+00:00,304.31,318.27,303.345,316.72,751990,14620,313.219205,alpaca,iex,raw,2026-05-13 13:11:00.855910+00:00
NVDA,1Day,2023-05-19 04:00:00+00:00,314.89,315.73,309.2,312.65,673789,15596,312.384415,alpaca,iex,raw,2026-05-13 13:11:00.855919+00:00
NVDA,1Day,2023-05-22 04:00:00+00:00,309.095,315.14,306.82,311.8,511126,8805,311.867865,alpaca,iex,raw,2026-05-13 13:11:00.855928+00:00
NVDA,1Day,2023-05-23 04:00:00+00:00,310.08,312.63,306.35,306.95,440889,7769,309.21393,alpaca,iex,raw,2026-05-13 13:11:00.855937+00:00
NVDA,1Day,2023-05-24 04:00:00+00:00,302.115,306.02,298.07,305.46,986611,18542,301.459391,alpaca,iex,raw,2026-05-13 13:11:00.855945+00:00
NVDA,1Day,2023-05-25 04:00:00+00:00,385.45,394.75,366.35,379.57,3738908,52094,381.552238,alpaca,iex,raw,2026-05-13 13:11:00.855966+00:00
NVDA,1Day,2023-05-26 04:00:00+00:00,378.66,391.67,375.62,389.24,1299157,18964,384.131121,alpaca,iex,raw,2026-05-13 13:11:00.855976+00:00
NVDA,1Day,2023-05-30 04:00:00+00:00,405.97,419.34,399.5,401.22,2107942,33697,407.676352,alpaca,iex,raw,2026-05-13 13:11:00.855985+00:00
NVDA,1Day,2023-05-31 04:00:00+00:00,394.21,402.8,378.23,378.615,1822701,30725,386.693875,alpaca,iex,raw,2026-05-13 13:11:00.855993+00:00
NVDA,1Day,2023-06-01 04:00:00+00:00,384.53,400.35,383.4,397.78,1050892,19287,392.402386,alpaca,iex,raw,2026-05-13 13:11:00.856002+00:00
NVDA,1Day,2023-06-02 04:00:00+00:00,400.94,405.0,390.74,393.3,676680,14547,396.130087,alpaca,iex,raw,2026-05-13 13:11:00.856011+00:00
NVDA,1Day,2023-06-05 04:00:00+00:00,389.09,395.64,387.16,391.7,1107794,14512,390.726256,alpaca,iex,raw,2026-05-13 13:11:00.856019+00:00
NVDA,1Day,2023-06-06 04:00:00+00:00,388.27,391.45,381.48,386.62,383106,6931,387.106562,alpaca,iex,raw,2026-05-13 13:11:00.856028+00:00
NVDA,1Day,2023-06-07 04:00:00+00:00,389.01,394.92,373.58,374.89,618837,11568,383.448257,alpaca,iex,raw,2026-05-13 13:11:00.856037+00:00
NVDA,1Day,2023-06-08 04:00:00+00:00,377.275,388.62,375.08,384.99,613014,15043,383.576647,alpaca,iex,raw,2026-05-13 13:11:00.856046+00:00
NVDA,1Day,2023-06-09 04:00:00+00:00,390.505,396.99,385.78,387.79,592893,10801,391.134466,alpaca,iex,raw,2026-05-13 13:11:00.856054+00:00
NVDA,1Day,2023-06-12 04:00:00+00:00,391.87,395.23,386.25,394.91,874260,18870,389.785419,alpaca,iex,raw,2026-05-13 13:11:00.856063+00:00
NVDA,1Day,2023-06-13 04:00:00+00:00,401.81,410.99,397.55,410.3,747400,12772,405.311623,alpaca,iex,raw,2026-05-13 13:11:00.856071+00:00
NVDA,1Day,2023-06-14 04:00:00+00:00,408.41,430.0,405.59,429.82,1180129,20365,419.661758,alpaca,iex,raw,2026-05-13 13:11:00.856080+00:00
NVDA,1Day,2023-06-15 04:00:00+00:00,426.33,432.71,421.54,426.56,831757,24186,427.588005,alpaca,iex,raw,2026-05-13 13:11:00.856088+00:00
NVDA,1Day,2023-06-16 04:00:00+00:00,435.0,437.17,426.63,427.01,973093,24101,432.736402,alpaca,iex,raw,2026-05-13 13:11:00.856097+00:00
NVDA,1Day,2023-06-20 04:00:00+00:00,429.88,439.885,426.86,438.25,637396,17028,431.906723,alpaca,iex,raw,2026-05-13 13:11:00.856105+00:00
NVDA,1Day,2023-06-21 04:00:00+00:00,435.11,436.09,420.87,430.42,749660,12720,427.807592,alpaca,iex,raw,2026-05-13 13:11:00.856114+00:00
NVDA,1Day,2023-06-22 04:00:00+00:00,422.475,434.22,422.475,430.22,943056,10775,429.784948,alpaca,iex,raw,2026-05-13 13:11:00.856122+00:00
NVDA,1Day,2023-06-23 04:00:00+00:00,424.58,428.03,420.22,422.07,402884,8839,423.922387,alpaca,iex,raw,2026-05-13 13:11:00.856131+00:00
NVDA,1Day,2023-06-26 04:00:00+00:00,424.73,427.5,401.03,406.37,893741,15593,413.350355,alpaca,iex,raw,2026-05-13 13:11:00.856139+00:00
NVDA,1Day,2023-06-27 04:00:00+00:00,408.21,419.39,404.59,418.67,558116,9679,411.743426,alpaca,iex,raw,2026-05-13 13:11:00.856148+00:00
NVDA,1Day,2023-06-28 04:00:00+00:00,406.51,418.35,405.29,411.45,781815,13365,411.953557,alpaca,iex,raw,2026-05-13 13:11:00.856157+00:00
NVDA,1Day,2023-06-29 04:00:00+00:00,415.49,415.895,406.03,408.33,405497,7574,409.59597,alpaca,iex,raw,2026-05-13 13:11:00.856165+00:00
NVDA,1Day,2023-06-30 04:00:00+00:00,416.69,425.47,415.13,422.89,462731,8894,422.019914,alpaca,iex,raw,2026-05-13 13:11:00.856174+00:00
