symbol,timeframe,timestamp,open,high,low,close,volume,trade_count,vwap,source,feed,adjustment,downloaded_at
NVDA,1Min,2023-05-15 13:29:00+00:00,285.17,285.17,285.17,285.17,159,3,285.17,alpaca,iex,raw,2026-05-13 13:10:27.788629+00:00
NVDA,1Min,2023-05-15 13:30:00+00:00,285.07,285.07,284.475,284.475,4187,64,284.765382,alpaca,iex,raw,2026-05-13 13:10:27.788692+00:00
NVDA,1Min,2023-05-15 13:31:00+00:00,284.02,284.205,283.96,284.2,1310,24,284.1145,alpaca,iex,raw,2026-05-13 13:10:27.788726+00:00
NVDA,1Min,2023-05-15 13:32:00+00:00,284.31,284.31,284.205,284.31,1446,23,284.251667,alpaca,iex,raw,2026-05-13 13:10:27.788753+00:00
NVDA,1Min,2023-05-15 13:33:00+00:00,284.1,284.17,284.01,284.01,1930,33,284.093333,alpaca,iex,raw,2026-05-13 13:10:27.788780+00:00
NVDA,1Min,2023-05-15 13:34:00+00:00,284.69,284.81,284.69,284.81,405,11,284.75,alpaca,iex,raw,2026-05-13 13:10:27.788806+00:00
NVDA,1Min,2023-05-15 13:35:00+00:00,284.74,284.76,284.25,284.6,1625,22,284.483333,alpaca,iex,raw,2026-05-13 13:10:27.788831+00:00
NVDA,1Min,2023-05-15 13:36:00+00:00,284.7,284.7,284.25,284.31,855,16,284.41,alpaca,iex,raw,2026-05-13 13:10:27.788857+00:00
NVDA,1Min,2023-05-15 13:37:00+00:00,284.19,284.25,283.935,284.03,2046,27,284.069375,alpaca,iex,raw,2026-05-13 13:10:27.788881+00:00
NVDA,1Min,2023-05-15 13:38:00+00:00,284.07,284.07,283.64,283.68,4002,64,283.760106,alpaca,iex,raw,2026-05-13 13:10:27.788906+00:00
NVDA,1Min,2023-05-15 13:39:00+00:00,283.33,283.33,282.86,283.14,1478,31,283.0525,alpaca,iex,raw,2026-05-13 13:10:27.788969+00:00
NVDA,1Min,2023-05-15 13:40:00+00:00,283.2,283.35,283.2,283.35,1119,12,283.266667,alpaca,iex,raw,2026-05-13 13:10:27.789012+00:00
NVDA,1Min,2023-05-15 13:41:00+00:00,283.26,283.47,283.2,283.47,1156,17,283.34125,alpaca,iex,raw,2026-05-13 13:10:27.789037+00:00
NVDA,1Min,2023-05-15 13:42:00+00:00,283.64,283.83,283.64,283.82,1484,22,283.765455,alpaca,iex,raw,2026-05-13 13:10:27.789062+00:00
NVDA,1Min,2023-05-15 13:43:00+00:00,283.64,283.77,283.64,283.71,2222,33,283.706944,alpaca,iex,raw,2026-05-13 13:10:27.789086+00:00
NVDA,1Min,2023-05-15 13:44:00+00:00,283.67,283.89,283.53,283.79,1945,27,283.781333,alpaca,iex,raw,2026-05-13 13:10:27.789110+00:00
NVDA,1Min,2023-05-15 13:45:00+00:00,284.185,284.69,284.185,284.46,1396,15,284.357917,alpaca,iex,raw,2026-05-13 13:10:27.789135+00:00
NVDA,1Min,2023-05-15 13:46:00+00:00,284.45,284.7,284.45,284.61,13531,232,284.563733,alpaca,iex,raw,2026-05-13 13:10:27.789160+00:00
NVDA,1Min,2023-05-15 13:47:00+00:00,284.63,285.12,284.59,284.59,4647,79,284.874,alpaca,iex,raw,2026-05-13 13:10:27.789184+00:00
NVDA,1Min,2023-05-15 13:48:00+00:00,284.59,284.6,284.39,284.6,671,15,284.54,alpaca,iex,raw,2026-05-13 13:10:27.789208+00:00
NVDA,1Min,2023-05-15 13:49:00+00:00,284.43,284.43,284.42,284.43,760,15,284.426,alpaca,iex,raw,2026-05-13 13:10:27.789246+00:00
NVDA,1Min,2023-05-15 13:50:00+00:00,284.49,284.49,283.76,283.76,1387,25,284.1,alpaca,iex,raw,2026-05-13 13:10:27.789271+00:00
NVDA,1Min,2023-05-15 13:51:00+00:00,283.885,283.885,282.99,282.99,2388,30,283.352683,alpaca,iex,raw,2026-05-13 13:10:27.789295+00:00
NVDA,1Min,2023-05-15 13:52:00+00:00,282.8,283.17,282.79,283.17,984,20,282.924,alpaca,iex,raw,2026-05-13 13:10:27.789320+00:00
NVDA,1Min,2023-05-15 13:53:00+00:00,282.87,283.26,282.87,283.2,1946,34,283.163769,alpaca,iex,raw,2026-05-13 13:10:27.789344+00:00
NVDA,1Min,2023-05-15 13:54:00+00:00,283.26,283.45,283.18,283.44,1328,16,283.36125,alpaca,iex,raw,2026-05-13 13:10:27.789369+00:00
NVDA,1Min,2023-05-15 13:55:00+00:00,283.405,283.405,283.35,283.35,534,11,283.390095,alpaca,iex,raw,2026-05-13 13:10:27.789394+00:00
NVDA,1Min,2023-05-15 13:56:00+00:00,283.11,283.11,283.03,283.03,433,9,283.07,alpaca,iex,raw,2026-05-13 13:10:27.789430+00:00
NVDA,1Min,2023-05-15 13:57:00+00:00,282.96,282.99,282.75,282.76,864,18,282.858382,alpaca,iex,raw,2026-05-13 13:10:27.789457+00:00
NVDA,1Min,2023-05-15 13:58:00+00:00,282.95,283.03,282.94,283.03,939,23,282.973333,alpaca,iex,raw,2026-05-13 13:10:27.789482+00:00
NVDA,1Min,2023-05-15 13:59:00+00:00,283.02,283.02,282.73,282.73,706,16,282.8775,alpaca,iex,raw,2026-05-13 13:10:27.789519+00:00
NVDA,1Min,2023-05-15 14:00:00+00:00,282.8,282.95,282.8,282.95,413,9,282.875,alpaca,iex,raw,2026-05-13 13:10:27.789544+00:00
NVDA,1Min,2023-05-15 14:01:00+00:00,283.04,283.11,282.9,283.1,1813,75,283.004375,alpaca,iex,raw,2026-05-13 13:10:27.789569+00:00
NVDA,1Min,2023-05-15 14:02:00+00:00,283.335,283.39,283.27,283.29,520,8,283.32125,alpaca,iex,raw,2026-05-13 13:10:27.789595+00:00
NVDA,1Min,2023-05-15 14:04:00+00:00,283.11,283.11,282.95,282.95,478,11,283.055,alpaca,iex,raw,2026-05-13 13:10:27.789619+00:00
NVDA,1Min,2023-05-15 14:05:00+00:00,283.08,283.08,282.975,282.975,577,12,283.017,alpaca,iex,raw,2026-05-13 13:10:27.789644+00:00
NVDA,1Min,2023-05-15 14:06:00+00:00,282.31,282.33,282.305,282.33,585,10,282.315,alpaca,iex,raw,2026-05-13 13:10:27.789668+00:00
NVDA,1Min,2023-05-15 14:07:00+00:00,282.06,282.06,282.06,282.06,172,6,282.06,alpaca,iex,raw,2026-05-13 13:10:27.789693+00:00
NVDA,1Min,2023-05-15 14:08:00+00:00,282.15,282.15,281.99,281.995,1229,17,282.058333,alpaca,iex,raw,2026-05-13 13:10:27.789718+00:00
NVDA,1Min,2023-05-15 14:09:00+00:00,281.9,282.04,281.9,282.04,1988,20,281.961091,alpaca,iex,raw,2026-05-13 13:10:27.789755+00:00
NVDA,1Min,2023-05-15 14:10:00+00:00,282.035,282.26,282.035,282.26,797,14,282.122,alpaca,iex,raw,2026-05-13 13:10:27.789790+00:00
