symbol,timeframe,timestamp,open,high,low,close,volume,trade_count,vwap,source,feed,adjustment,downloaded_at
QQQ,1Day,2023-05-15 04:00:00+00:00,325.53,327.03,323.99,326.75,673638,6190,325.911116,alpaca,iex,raw,2026-05-13 12:43:10.435033+00:00
QQQ,1Day,2023-05-16 04:00:00+00:00,326.04,328.9,326.04,327.16,614020,5558,327.977551,alpaca,iex,raw,2026-05-13 12:43:10.435051+00:00
QQQ,1Day,2023-05-17 04:00:00+00:00,328.245,331.685,327.08,331.2,572208,5152,329.9524,alpaca,iex,raw,2026-05-13 12:43:10.435060+00:00
QQQ,1Day,2023-05-18 04:00:00+00:00,331.52,337.49,331.52,337.255,786674,7289,335.293539,alpaca,iex,raw,2026-05-13 12:43:10.435067+00:00
QQQ,1Day,2023-05-19 04:00:00+00:00,337.59,338.165,335.44,336.44,707545,5828,336.560078,alpaca,iex,raw,2026-05-13 12:43:10.435075+00:00
QQQ,1Day,2023-05-22 04:00:00+00:00,336.34,338.61,336.245,337.575,472749,4830,337.673381,alpaca,iex,raw,2026-05-13 12:43:10.435082+00:00
QQQ,1Day,2023-05-23 04:00:00+00:00,335.92,337.025,333.02,333.32,621592,5891,334.983874,alpaca,iex,raw,2026-05-13 12:43:10.435089+00:00
QQQ,1Day,2023-05-24 04:00:00+00:00,331.26,332.88,329.585,331.55,1036731,7155,330.835249,alpaca,iex,raw,2026-05-13 12:43:10.435096+00:00
QQQ,1Day,2023-05-25 04:00:00+00:00,339.26,340.955,336.74,339.68,864846,7021,339.278317,alpaca,iex,raw,2026-05-13 12:43:10.435103+00:00
QQQ,1Day,2023-05-26 04:00:00+00:00,340.77,349.23,340.72,348.42,1048914,8238,346.526655,alpaca,iex,raw,2026-05-13 12:43:10.435111+00:00
QQQ,1Day,2023-05-30 04:00:00+00:00,352.84,353.895,348.57,349.9,1159352,8211,351.02235,alpaca,iex,raw,2026-05-13 12:43:10.435118+00:00
