symbol,timeframe,timestamp,open,high,low,close,volume,trade_count,vwap,source,feed,adjustment,downloaded_at
QQQ,5Min,2023-05-15 12:30:00+00:00,325.61,325.61,325.61,325.61,200,1,325.61,alpaca,iex,raw,2026-05-13 12:42:58.660165+00:00
QQQ,5Min,2023-05-15 12:35:00+00:00,325.68,325.68,325.68,325.68,800,1,325.68,alpaca,iex,raw,2026-05-13 12:42:58.660220+00:00
QQQ,5Min,2023-05-15 12:45:00+00:00,325.65,325.77,325.65,325.77,1114,5,325.738224,alpaca,iex,raw,2026-05-13 12:42:58.660251+00:00
QQQ,5Min,2023-05-15 12:50:00+00:00,325.75,325.75,325.75,325.75,800,1,325.75,alpaca,iex,raw,2026-05-13 12:42:58.660279+00:00
QQQ,5Min,2023-05-15 13:00:00+00:00,325.66,325.7,325.66,325.66,900,9,325.667778,alpaca,iex,raw,2026-05-13 12:42:58.660306+00:00
QQQ,5Min,2023-05-15 13:05:00+00:00,325.61,325.75,325.61,325.75,1332,7,325.731667,alpaca,iex,raw,2026-05-13 12:42:58.660333+00:00
QQQ,5Min,2023-05-15 13:10:00+00:00,325.64,325.65,325.64,325.65,518,4,325.643861,alpaca,iex,raw,2026-05-13 12:42:58.660359+00:00
QQQ,5Min,2023-05-15 13:15:00+00:00,325.8,325.8,325.8,325.8,100,1,325.8,alpaca,iex,raw,2026-05-13 12:42:58.660385+00:00
QQQ,5Min,2023-05-15 13:25:00+00:00,325.45,325.45,325.45,325.45,681,3,325.45,alpaca,iex,raw,2026-05-13 12:42:58.660411+00:00
QQQ,5Min,2023-05-15 13:30:00+00:00,325.53,325.545,325.11,325.26,15430,172,325.317067,alpaca,iex,raw,2026-05-13 12:42:58.660437+00:00
QQQ,5Min,2023-05-15 13:35:00+00:00,325.3,325.49,324.94,325.015,12053,161,325.24339,alpaca,iex,raw,2026-05-13 12:42:58.660463+00:00
QQQ,5Min,2023-05-15 13:40:00+00:00,325.04,325.51,325.03,325.45,8869,103,325.241184,alpaca,iex,raw,2026-05-13 12:42:58.660489+00:00
QQQ,5Min,2023-05-15 13:45:00+00:00,325.58,325.81,325.15,325.24,11902,149,325.589227,alpaca,iex,raw,2026-05-13 12:42:58.660515+00:00
QQQ,5Min,2023-05-15 13:50:00+00:00,325.17,325.17,324.66,324.835,14529,140,324.858867,alpaca,iex,raw,2026-05-13 12:42:58.660541+00:00
QQQ,5Min,2023-05-15 13:55:00+00:00,324.865,324.915,324.54,324.56,6172,79,324.676533,alpaca,iex,raw,2026-05-13 12:42:58.660567+00:00
QQQ,5Min,2023-05-15 14:00:00+00:00,324.57,324.855,324.57,324.735,6373,65,324.718225,alpaca,iex,raw,2026-05-13 12:42:58.660592+00:00
QQQ,5Min,2023-05-15 14:05:00+00:00,324.76,324.795,324.02,324.03,14638,121,324.323984,alpaca,iex,raw,2026-05-13 12:42:58.660617+00:00
