symbol,timeframe,timestamp,open,high,low,close,volume,trade_count,vwap,source,feed,adjustment,downloaded_at
SPY,1Day,2023-05-15 04:00:00+00:00,412.27,413.39,410.26,413.02,813583,8458,412.01462,alpaca,iex,raw,2026-05-13 12:42:06.249246+00:00
SPY,1Day,2023-05-16 04:00:00+00:00,411.85,412.78,410.25,410.28,1008235,9289,411.489139,alpaca,iex,raw,2026-05-13 12:42:06.249269+00:00
SPY,1Day,2023-05-17 04:00:00+00:00,412.34,415.84,410.65,415.14,1343616,12506,414.033074,alpaca,iex,raw,2026-05-13 12:42:06.249281+00:00
SPY,1Day,2023-05-18 04:00:00+00:00,414.96,419.66,414.7,419.215,1147069,10871,417.201271,alpaca,iex,raw,2026-05-13 12:42:06.249291+00:00
SPY,1Day,2023-05-19 04:00:00+00:00,420.2,420.71,417.355,418.58,1158018,10308,418.946408,alpaca,iex,raw,2026-05-13 12:42:06.249301+00:00
SPY,1Day,2023-05-22 04:00:00+00:00,418.8,420.37,417.37,418.77,925017,8576,419.142206,alpaca,iex,raw,2026-05-13 12:42:06.249311+00:00
SPY,1Day,2023-05-23 04:00:00+00:00,417.09,418.06,413.685,414.135,1111986,11175,415.815852,alpaca,iex,raw,2026-05-13 12:42:06.249321+00:00
SPY,1Day,2023-05-24 04:00:00+00:00,412.41,412.78,409.895,410.985,1204304,11157,411.029899,alpaca,iex,raw,2026-05-13 12:42:06.249331+00:00
SPY,1Day,2023-05-25 04:00:00+00:00,414.74,416.07,412.43,414.62,1534315,12651,414.224823,alpaca,iex,raw,2026-05-13 12:42:06.249341+00:00
SPY,1Day,2023-05-26 04:00:00+00:00,415.33,420.76,415.28,419.96,1594225,14236,419.298841,alpaca,iex,raw,2026-05-13 12:42:06.249351+00:00
SPY,1Day,2023-05-30 04:00:00+00:00,422.03,422.575,418.76,420.135,1165756,10500,420.553836,alpaca,iex,raw,2026-05-13 12:42:06.249360+00:00
SPY,1Day,2023-05-31 04:00:00+00:00,418.26,419.19,416.23,417.86,1585308,12847,417.69383,alpaca,iex,raw,2026-05-13 12:42:06.249370+00:00
SPY,1Day,2023-06-01 04:00:00+00:00,418.205,422.92,416.855,421.79,1280781,12564,420.701257,alpaca,iex,raw,2026-05-13 12:42:06.249380+00:00
SPY,1Day,2023-06-02 04:00:00+00:00,424.58,428.73,423.98,427.735,1485046,14856,427.233539,alpaca,iex,raw,2026-05-13 12:42:06.249390+00:00
SPY,1Day,2023-06-05 04:00:00+00:00,428.22,429.67,426.38,427.1,1042292,9298,428.071805,alpaca,iex,raw,2026-05-13 12:42:06.249399+00:00
SPY,1Day,2023-06-06 04:00:00+00:00,426.67,428.56,426.035,428.03,1132909,11370,427.532158,alpaca,iex,raw,2026-05-13 12:42:06.249409+00:00
SPY,1Day,2023-06-07 04:00:00+00:00,428.46,429.6,426.13,426.57,1513065,12433,427.338988,alpaca,iex,raw,2026-05-13 12:42:06.249418+00:00
SPY,1Day,2023-06-08 04:00:00+00:00,426.565,429.57,425.855,429.17,959745,9324,428.280706,alpaca,iex,raw,2026-05-13 12:42:06.249428+00:00
SPY,1Day,2023-06-09 04:00:00+00:00,430.08,431.99,428.885,429.99,980638,8933,430.383353,alpaca,iex,raw,2026-05-13 12:42:06.249438+00:00
SPY,1Day,2023-06-12 04:00:00+00:00,430.925,433.855,430.17,433.82,872286,8910,431.996146,alpaca,iex,raw,2026-05-13 12:42:06.249447+00:00
SPY,1Day,2023-06-13 04:00:00+00:00,435.41,437.32,434.68,436.67,1434752,12166,436.356502,alpaca,iex,raw,2026-05-13 12:42:06.249457+00:00
SPY,1Day,2023-06-14 04:00:00+00:00,437.1,439.03,433.655,437.14,1154840,9237,436.623495,alpaca,iex,raw,2026-05-13 12:42:06.249466+00:00
SPY,1Day,2023-06-15 04:00:00+00:00,436.38,443.88,436.28,442.59,1762275,13512,441.098083,alpaca,iex,raw,2026-05-13 12:42:06.249476+00:00
SPY,1Day,2023-06-16 04:00:00+00:00,443.11,443.11,438.98,439.28,1108906,10110,440.942685,alpaca,iex,raw,2026-05-13 12:42:06.249485+00:00
SPY,1Day,2023-06-20 04:00:00+00:00,437.43,438.36,435.03,437.24,1191787,11064,436.994298,alpaca,iex,raw,2026-05-13 12:42:06.249495+00:00
SPY,1Day,2023-06-21 04:00:00+00:00,436.2,436.97,434.37,434.85,1178565,8745,435.464099,alpaca,iex,raw,2026-05-13 12:42:06.249505+00:00
SPY,1Day,2023-06-22 04:00:00+00:00,433.99,436.62,433.64,436.57,870482,8750,435.301569,alpaca,iex,raw,2026-05-13 12:42:06.249514+00:00
SPY,1Day,2023-06-23 04:00:00+00:00,432.96,435.05,432.5,433.16,1161180,10825,433.523681,alpaca,iex,raw,2026-05-13 12:42:06.249524+00:00
SPY,1Day,2023-06-26 04:00:00+00:00,432.64,434.55,431.205,431.4,1025359,9720,432.646608,alpaca,iex,raw,2026-05-13 12:42:06.249533+00:00
SPY,1Day,2023-06-27 04:00:00+00:00,432.39,436.8,431.915,436.14,1114166,10174,435.119355,alpaca,iex,raw,2026-05-13 12:42:06.249543+00:00
SPY,1Day,2023-06-28 04:00:00+00:00,435.09,437.42,434.41,436.34,934658,8053,435.614623,alpaca,iex,raw,2026-05-13 12:42:06.249552+00:00
