symbol,timeframe,timestamp,open,high,low,close,volume,trade_count,vwap,source,feed,adjustment,downloaded_at
SPY,5Min,2023-05-15 13:30:00+00:00,412.27,412.275,411.38,411.38,25488,245,411.981494,alpaca,iex,raw,2026-05-13 12:41:58.866612+00:00
SPY,5Min,2023-05-15 13:35:00+00:00,411.4,411.615,411.26,411.46,10592,113,411.445408,alpaca,iex,raw,2026-05-13 12:41:58.866666+00:00
SPY,5Min,2023-05-15 13:40:00+00:00,411.415,411.685,411.37,411.49,12577,117,411.506932,alpaca,iex,raw,2026-05-13 12:41:58.866697+00:00
SPY,5Min,2023-05-15 13:45:00+00:00,411.545,411.68,411.14,411.19,11365,155,411.390372,alpaca,iex,raw,2026-05-13 12:41:58.866724+00:00
SPY,5Min,2023-05-15 13:50:00+00:00,411.225,411.225,410.98,411.035,16212,168,411.041959,alpaca,iex,raw,2026-05-13 12:41:58.866749+00:00
SPY,5Min,2023-05-15 13:55:00+00:00,411.085,411.09,410.8,410.82,13937,148,410.928655,alpaca,iex,raw,2026-05-13 12:41:58.866775+00:00
SPY,5Min,2023-05-15 14:00:00+00:00,410.86,411.18,410.86,411.015,22348,156,410.986829,alpaca,iex,raw,2026-05-13 12:41:58.866800+00:00
SPY,5Min,2023-05-15 14:05:00+00:00,411.03,411.125,410.36,410.42,20638,165,410.763633,alpaca,iex,raw,2026-05-13 12:41:58.866824+00:00
SPY,5Min,2023-05-15 14:10:00+00:00,410.4,410.535,410.29,410.35,14247,128,410.428529,alpaca,iex,raw,2026-05-13 12:41:58.866849+00:00
SPY,5Min,2023-05-15 14:15:00+00:00,410.295,410.53,410.26,410.52,9953,93,410.368863,alpaca,iex,raw,2026-05-13 12:41:58.866874+00:00
SPY,5Min,2023-05-15 14:20:00+00:00,410.595,410.98,410.41,410.91,19901,145,410.753418,alpaca,iex,raw,2026-05-13 12:41:58.866900+00:00
SPY,5Min,2023-05-15 14:25:00+00:00,410.93,411.225,410.895,411.015,13800,104,411.053824,alpaca,iex,raw,2026-05-13 12:41:58.866925+00:00
SPY,5Min,2023-05-15 14:30:00+00:00,410.98,411.34,410.98,411.34,6096,84,411.091492,alpaca,iex,raw,2026-05-13 12:41:58.866970+00:00
SPY,5Min,2023-05-15 14:35:00+00:00,411.33,411.51,411.32,411.42,4088,57,411.424853,alpaca,iex,raw,2026-05-13 12:41:58.866999+00:00
SPY,5Min,2023-05-15 14:40:00+00:00,411.42,411.71,411.42,411.575,10029,124,411.58242,alpaca,iex,raw,2026-05-13 12:41:58.867024+00:00
SPY,5Min,2023-05-15 14:45:00+00:00,411.57,411.72,411.47,411.66,11680,83,411.633523,alpaca,iex,raw,2026-05-13 12:41:58.867049+00:00
SPY,5Min,2023-05-15 14:50:00+00:00,411.67,411.97,411.66,411.885,8682,82,411.816204,alpaca,iex,raw,2026-05-13 12:41:58.867073+00:00
SPY,5Min,2023-05-15 14:55:00+00:00,411.925,411.96,411.405,411.425,16073,150,411.768948,alpaca,iex,raw,2026-05-13 12:41:58.867099+00:00
SPY,5Min,2023-05-15 15:00:00+00:00,411.41,411.72,411.395,411.58,6541,67,411.563881,alpaca,iex,raw,2026-05-13 12:41:58.867124+00:00
SPY,5Min,2023-05-15 15:05:00+00:00,411.54,411.86,411.54,411.67,10574,124,411.733127,alpaca,iex,raw,2026-05-13 12:41:58.867149+00:00
SPY,5Min,2023-05-15 15:10:00+00:00,411.72,411.87,411.71,411.85,10354,128,411.776331,alpaca,iex,raw,2026-05-13 12:41:58.867174+00:00
SPY,5Min,2023-05-15 15:15:00+00:00,411.855,412.11,411.85,412.02,10420,96,412.032703,alpaca,iex,raw,2026-05-13 12:41:58.867199+00:00
SPY,5Min,2023-05-15 15:20:00+00:00,412.06,412.13,411.92,412.08,10340,110,412.03353,alpaca,iex,raw,2026-05-13 12:41:58.867223+00:00
SPY,5Min,2023-05-15 15:25:00+00:00,412.095,412.19,411.98,411.98,17333,143,412.094474,alpaca,iex,raw,2026-05-13 12:41:58.867247+00:00
SPY,5Min,2023-05-15 15:30:00+00:00,411.94,412.06,411.845,411.9,20081,145,411.971641,alpaca,iex,raw,2026-05-13 12:41:58.867272+00:00
SPY,5Min,2023-05-15 15:35:00+00:00,411.97,412.05,411.94,412.04,7944,65,412.004011,alpaca,iex,raw,2026-05-13 12:41:58.867297+00:00
SPY,5Min,2023-05-15 15:40:00+00:00,411.93,411.93,411.655,411.72,8203,83,411.757484,alpaca,iex,raw,2026-05-13 12:41:58.867322+00:00
SPY,5Min,2023-05-15 15:45:00+00:00,411.63,411.96,411.61,411.96,4801,48,411.754038,alpaca,iex,raw,2026-05-13 12:41:58.867347+00:00
