symbol,timeframe,timestamp,open,high,low,close,volume,trade_count,vwap,source,feed,adjustment,downloaded_at
TSLA,1Day,2023-05-15 04:00:00+00:00,167.6,169.66,164.56,166.4,467231,6807,166.809662,alpaca,iex,raw,2026-05-13 13:16:33.672636+00:00
TSLA,1Day,2023-05-16 04:00:00+00:00,165.69,169.46,164.48,166.52,548078,7218,167.425475,alpaca,iex,raw,2026-05-13 13:16:33.672653+00:00
TSLA,1Day,2023-05-17 04:00:00+00:00,168.345,174.47,167.26,173.79,735890,8433,172.587467,alpaca,iex,raw,2026-05-13 13:16:33.672660+00:00
TSLA,1Day,2023-05-18 04:00:00+00:00,174.22,177.06,172.52,176.95,625014,8001,174.800185,alpaca,iex,raw,2026-05-13 13:16:33.672667+00:00
TSLA,1Day,2023-05-19 04:00:00+00:00,177.07,181.94,176.35,180.14,908055,11018,179.71823,alpaca,iex,raw,2026-05-13 13:16:33.672674+00:00
TSLA,1Day,2023-05-22 04:00:00+00:00,180.885,189.31,180.16,188.95,848410,11314,185.751752,alpaca,iex,raw,2026-05-13 13:16:33.672680+00:00
TSLA,1Day,2023-05-23 04:00:00+00:00,186.49,192.95,185.27,185.79,958252,11679,188.69759,alpaca,iex,raw,2026-05-13 13:16:33.672687+00:00
TSLA,1Day,2023-05-24 04:00:00+00:00,182.23,184.17,178.235,182.9,792431,10331,181.448064,alpaca,iex,raw,2026-05-13 13:16:33.672693+00:00
TSLA,1Day,2023-05-25 04:00:00+00:00,186.54,186.78,180.65,184.43,671485,9084,184.151613,alpaca,iex,raw,2026-05-13 13:16:33.672699+00:00
TSLA,1Day,2023-05-26 04:00:00+00:00,184.62,198.59,184.57,193.2,1213724,14382,193.232549,alpaca,iex,raw,2026-05-13 13:16:33.672706+00:00
TSLA,1Day,2023-05-30 04:00:00+00:00,200.09,204.45,197.64,201.16,917562,11386,200.520644,alpaca,iex,raw,2026-05-13 13:16:33.672713+00:00
TSLA,1Day,2023-05-31 04:00:00+00:00,199.83,203.935,195.21,203.88,1018943,12599,199.579488,alpaca,iex,raw,2026-05-13 13:16:33.672719+00:00
TSLA,1Day,2023-06-01 04:00:00+00:00,202.55,209.79,199.38,207.49,1220618,13803,204.892058,alpaca,iex,raw,2026-05-13 13:16:33.672725+00:00
TSLA,1Day,2023-06-02 04:00:00+00:00,210.02,217.23,209.785,213.96,1031035,12933,214.668129,alpaca,iex,raw,2026-05-13 13:16:33.672732+00:00
TSLA,1Day,2023-06-05 04:00:00+00:00,217.84,221.23,214.76,217.62,859501,11389,218.305701,alpaca,iex,raw,2026-05-13 13:16:33.672738+00:00
TSLA,1Day,2023-06-06 04:00:00+00:00,216.05,221.9,212.56,221.42,794635,11469,218.021162,alpaca,iex,raw,2026-05-13 13:16:33.672744+00:00
TSLA,1Day,2023-06-07 04:00:00+00:00,228.09,230.81,223.24,224.59,1065013,14092,227.039293,alpaca,iex,raw,2026-05-13 13:16:33.672751+00:00
TSLA,1Day,2023-06-08 04:00:00+00:00,224.13,235.23,223.07,234.85,843667,10411,231.262967,alpaca,iex,raw,2026-05-13 13:16:33.672757+00:00
TSLA,1Day,2023-06-09 04:00:00+00:00,249.02,252.3,242.03,244.42,1371778,15816,247.198317,alpaca,iex,raw,2026-05-13 13:16:33.672763+00:00
TSLA,1Day,2023-06-12 04:00:00+00:00,247.96,250.895,244.71,249.88,796125,9661,247.960014,alpaca,iex,raw,2026-05-13 13:16:33.672769+00:00
TSLA,1Day,2023-06-13 04:00:00+00:00,253.5,259.63,251.35,258.69,781286,11226,255.882704,alpaca,iex,raw,2026-05-13 13:16:33.672776+00:00
TSLA,1Day,2023-06-14 04:00:00+00:00,260.21,261.55,250.55,256.78,958493,12224,256.515144,alpaca,iex,raw,2026-05-13 13:16:33.672782+00:00
TSLA,1Day,2023-06-15 04:00:00+00:00,248.36,258.88,247.3,256.02,677418,9392,254.960135,alpaca,iex,raw,2026-05-13 13:16:33.672788+00:00
TSLA,1Day,2023-06-16 04:00:00+00:00,259.02,263.58,257.27,260.41,919753,10643,260.690876,alpaca,iex,raw,2026-05-13 13:16:33.672794+00:00
