symbol,timeframe,timestamp,open,high,low,close,volume,trade_count,vwap,source,feed,adjustment,downloaded_at
TSLA,5Min,2023-05-15 13:30:00+00:00,167.6,168.84,166.75,168.64,42374,553,167.716992,alpaca,iex,raw,2026-05-13 13:16:23.066315+00:00
TSLA,5Min,2023-05-15 13:35:00+00:00,168.8,169.14,168.32,168.375,8925,119,168.636991,alpaca,iex,raw,2026-05-13 13:16:23.066370+00:00
TSLA,5Min,2023-05-15 13:40:00+00:00,168.22,169.66,168.22,169.32,17370,239,169.2646,alpaca,iex,raw,2026-05-13 13:16:23.066400+00:00
TSLA,5Min,2023-05-15 13:45:00+00:00,169.585,169.65,168.79,169.01,5531,89,169.235005,alpaca,iex,raw,2026-05-13 13:16:23.066426+00:00
TSLA,5Min,2023-05-15 13:50:00+00:00,169.01,169.01,167.24,167.24,8784,150,167.933256,alpaca,iex,raw,2026-05-13 13:16:23.066452+00:00
TSLA,5Min,2023-05-15 13:55:00+00:00,167.545,167.545,165.36,165.44,13495,233,166.048687,alpaca,iex,raw,2026-05-13 13:16:23.066479+00:00
TSLA,5Min,2023-05-15 14:00:00+00:00,165.37,166.34,165.37,166.33,10708,132,165.979057,alpaca,iex,raw,2026-05-13 13:16:23.066504+00:00
TSLA,5Min,2023-05-15 14:05:00+00:00,166.37,166.37,165.21,165.7,7572,134,165.754523,alpaca,iex,raw,2026-05-13 13:16:23.066529+00:00
TSLA,5Min,2023-05-15 14:10:00+00:00,165.82,166.15,165.79,165.81,5525,91,166.016162,alpaca,iex,raw,2026-05-13 13:16:23.066554+00:00
TSLA,5Min,2023-05-15 14:15:00+00:00,166.01,166.3,165.85,166.2,7847,68,166.110643,alpaca,iex,raw,2026-05-13 13:16:23.066579+00:00
TSLA,5Min,2023-05-15 14:20:00+00:00,166.12,166.64,165.54,166.38,6849,106,166.177756,alpaca,iex,raw,2026-05-13 13:16:23.066605+00:00
TSLA,5Min,2023-05-15 14:25:00+00:00,166.43,166.51,166.12,166.2,2826,44,166.308167,alpaca,iex,raw,2026-05-13 13:16:23.066630+00:00
TSLA,5Min,2023-05-15 14:30:00+00:00,166.245,166.64,166.01,166.46,4356,59,166.38563,alpaca,iex,raw,2026-05-13 13:16:23.066656+00:00
TSLA,5Min,2023-05-15 14:35:00+00:00,166.55,166.86,166.45,166.675,3475,42,166.69197,alpaca,iex,raw,2026-05-13 13:16:23.066680+00:00
