symbol,timestamp,close,prior_resistance,breakout_amount,lookback_bars,prior_window_start,prior_window_end,next_5m_high,max_high_next_6_bars,max_high_next_12_bars,max_high_next_24_bars,close_after_6_bars,close_after_12_bars,close_after_24_bars,did_price_continue,did_price_reclaim_below_resistance,discovery_status,score
SPY,2023-05-15 14:50:00+00:00,411.88,411.72,0.1650,12,2023-05-15 13:50:00+00:00,2023-05-15 14:45:00+00:00,411.96,412.13,412.19,412.58,412.08,411.75,412.40,true,true,candidate_for_manual_review,3.4900
SPY,2023-05-15 15:15:00+00:00,412.02,411.97,0.0500,12,2023-05-15 14:15:00+00:00,2023-05-15 15:10:00+00:00,412.13,412.19,412.19,413.39,411.96,412.06,413.15,true,true,candidate_for_manual_review,2.4300
SPY,2023-05-15 16:45:00+00:00,412.38,412.18,0.2000,12,2023-05-15 15:45:00+00:00,2023-05-15 16:40:00+00:00,412.58,413.39,413.39,413.39,413.15,411.69,412.66,true,false,candidate_for_manual_review,5.8150
SPY,2023-05-15 16:55:00+00:00,412.77,412.58,0.1900,12,2023-05-15 15:55:00+00:00,2023-05-15 16:50:00+00:00,412.81,413.39,413.39,413.39,412.30,412.31,412.42,true,true,candidate_for_manual_review,4.1150
SPY,2023-05-15 17:05:00+00:00,413.02,412.81,0.2100,12,2023-05-15 16:05:00+00:00,2023-05-15 17:00:00+00:00,413.39,413.39,413.39,413.39,412.10,412.61,412.65,true,true,candidate_for_manual_review,3.9700
SPY,2023-05-15 17:10:00+00:00,413.22,413.04,0.1800,12,2023-05-15 16:10:00+00:00,2023-05-15 17:05:00+00:00,413.32,413.32,413.32,413.32,411.85,412.59,412.63,true,true,candidate_for_manual_review,3.2200
SPY,2023-05-15 19:55:00+00:00,413.02,412.92,0.1000,12,2023-05-15 18:55:00+00:00,2023-05-15 19:50:00+00:00,412.86,412.99,412.99,412.99,412.85,411.55,411.49,false,true,candidate_for_manual_review,1.1050
SPY,2023-05-16 16:40:00+00:00,412.12,412.06,0.0600,12,2023-05-16 15:40:00+00:00,2023-05-16 16:35:00+00:00,412.13,412.13,412.13,412.13,412.00,411.43,411.49,true,true,candidate_for_manual_review,1.7125
SPY,2023-05-17 13:00:00+00:00,412.16,411.60,0.5650,12,2023-05-16 19:35:00+00:00,2023-05-16 20:40:00+00:00,412.39,412.39,412.39,412.81,410.76,411.77,412.10,true,true,candidate_for_manual_review,8.0525
SPY,2023-05-17 15:00:00+00:00,412.04,411.92,0.1150,12,2023-05-17 14:00:00+00:00,2023-05-17 14:55:00+00:00,412.02,412.81,412.81,414.86,411.99,412.52,414.81,true,true,candidate_for_manual_review,4.5100
SPY,2023-05-17 15:15:00+00:00,412.13,412.06,0.0650,12,2023-05-17 14:15:00+00:00,2023-05-17 15:10:00+00:00,412.15,412.74,412.74,415.24,412.47,412.47,414.71,true,true,candidate_for_manual_review,3.9125
SPY,2023-05-17 16:25:00+00:00,412.86,412.74,0.1200,12,2023-05-17 15:25:00+00:00,2023-05-17 16:20:00+00:00,413.23,414.62,415.28,415.84,414.41,415.20,415.21,true,false,candidate_for_manual_review,6.6300
SPY,2023-05-17 16:30:00+00:00,413.08,412.90,0.1850,12,2023-05-17 15:30:00+00:00,2023-05-17 16:25:00+00:00,413.61,414.86,415.53,415.84,414.81,415.53,414.81,true,false,candidate_for_manual_review,7.2800
